"ProductID","ShipToID","VolumeInKG"
"102371 - AU","6003","1.12"
"102371 - AU","6004","1.12"
"102371 - AU","6702","1.12"
"102371 - AU","4014","1.12"
"102371 - AU","4034","1.12"
"102371 - AU","4709","0.56"
"102371 - AU","2003","1.12"
"102371 - AU","2012","1.12"
"102371 - AU","2024","1.12"
"102371 - AU","2048","3.36"
"102371 - AU","2064","6.72"
"102371 - AU","2067","1.12"
"102371 - AU","2077","1.12"
"102371 - AU","2083","4.48"
"102371 - AU","2093","1.12"
"102371 - AU","2097","3.36"
"102371 - AU","2098","2.24"
"102371 - AU","2710","6.72"
"102371 - AU","3001","3.36"
"102371 - AU","3004","1.12"
"102371 - AU","3005","2.24"
"102371 - AU","3010","1.12"
"102371 - AU","3018","2.24"
"102371 - AU","3023","1.12"
"102371 - AU","3024","2.24"
"102371 - AU","3026","1.12"
"102371 - AU","3027","4.48"
"102371 - AU","3031","3.36"
"102371 - AU","3037","3.36"
"102371 - AU","3043","6.72"
"102371 - AU","3044","1.12"
"102371 - AU","3047","2.24"
"102371 - AU","3050","1.12"
"102371 - AU","3053","3.36"
"102371 - AU","3054","2.24"
"102371 - AU","3061","1.12"
"102371 - AU","3065","1.12"
"102371 - AU","3068","1.12"
"102371 - AU","3073","1.12"
"102371 - AU","3074","3.36"
"102371 - AU","3075","1.12"
"102371 - AU","3078","4.48"
"102371 - AU","3081","1.12"
"102371 - AU","3082","3.36"
"102371 - AU","3097","1.12"
"102371 - AU","3101","2.24"
"102371 - AU","3103","2.24"
"102371 - AU","3108","3.36"
"102371 - AU","3110","3.36"
"102371 - AU","3111","2.24"
"102371 - AU","3112","20.72"
"102371 - AU","3118","3.36"
"102371 - AU","3119","3.36"
"102371 - AU","3120","4.48"
"102371 - AU","3122","1.12"
"102371 - AU","3125","2.8"
"102371 - AU","3126","1.68"
"102371 - AU","3148","1.12"
"102371 - AU","3150","1.12"
"102371 - AU","3153","1.12"
"102371 - AU","3158","1.12"
"102371 - AU","3179","2.24"
"102371 - AU","3709","2.24"
"102371 - AU","3720","2.24"
"102371 - AU","4081","2.8"
"102371 - AU","5003","2.24"
"102371 - AU","5004","2.24"
"102371 - AU","5005","1.12"
"102371 - AU","5007","10.08"
"102371 - AU","5011","1.12"
"102371 - AU","5014","1.12"
"102371 - AU","5016","1.12"
"102371 - AU","5021","1.12"
"102371 - AU","5024","1.12"
"102371 - AU","5029","1.12"
"102371 - AU","5037","1.12"
"102371 - AU","5052","2.24"
"102371 - AU","5703","3.36"
"102371 - AU","6002","1.12"
"102371 - AU","6004","1.12"
"102371 - AU","7004","4.48"
"102371 - AU","7015","1.12"
"102371 - AU","7704","2.24"
"102371 - AU","8005","1.12"
"102371 - AU","8012","1.12"
"102372 - AU","6001","1.1"
"102372 - AU","6002","2.2"
"102372 - AU","6003","1.1"
"102372 - AU","6003","2.2"
"102372 - AU","6004","1.65"
"102372 - AU","6005","5.5"
"102372 - AU","6006","7.7"
"102372 - AU","6007","7.7"
"102372 - AU","6008","9.9"
"102372 - AU","6009","7.7"
"102372 - AU","6010","3.3"
"102372 - AU","6011","2.2"
"102372 - AU","6011","5.5"
"102372 - AU","6014","3.3"
"102372 - AU","6017","1.1"
"102372 - AU","6017","1.1"
"102372 - AU","6018","1.1"
"102372 - AU","6021","1.1"
"102372 - AU","6027","1.1"
"102372 - AU","6027","6.6"
"102372 - AU","6028","3.3"
"102372 - AU","6031","1.1"
"102372 - AU","6031","1.1"
"102372 - AU","6037","2.2"
"102372 - AU","6038","2.2"
"102372 - AU","6046","1.1"
"102372 - AU","6048","7.7"
"102372 - AU","6049","5.5"
"102372 - AU","6701","1.1"
"102372 - AU","6702","2.2"
"102372 - AU","4034","3.3"
"102372 - AU","4073","2.2"
"102372 - AU","4115","1.1"
"102372 - AU","4709","1.1"
"102372 - AU","2002","2.2"
"102372 - AU","2003","3.3"
"102372 - AU","2004","1.1"
"102372 - AU","2006","2.2"
"102372 - AU","2007","4.4"
"102372 - AU","2011","1.1"
"102372 - AU","2013","6.6"
"102372 - AU","2014","2.2"
"102372 - AU","2018","3.3"
"102372 - AU","2020","8.8"
"102372 - AU","2024","7.7"
"102372 - AU","2025","12.1"
"102372 - AU","2027","1.1"
"102372 - AU","2028","1.1"
"102372 - AU","2029","2.2"
"102372 - AU","2030","6.6"
"102372 - AU","2033","2.2"
"102372 - AU","2034","1.1"
"102372 - AU","2035","6.6"
"102372 - AU","2036","1.1"
"102372 - AU","2037","15.4"
"102372 - AU","2039","9.9"
"102372 - AU","2040","1.1"
"102372 - AU","2041","5.5"
"102372 - AU","2042","1.1"
"102372 - AU","2043","5.5"
"102372 - AU","2044","12.1"
"102372 - AU","2047","11"
"102372 - AU","2048","8.8"
"102372 - AU","2049","4.4"
"102372 - AU","2050","2.2"
"102372 - AU","2052","1.1"
"102372 - AU","2053","3.3"
"102372 - AU","2054","3.3"
"102372 - AU","2055","4.4"
"102372 - AU","2057","3.3"
"102372 - AU","2062","2.2"
"102372 - AU","2063","2.2"
"102372 - AU","2064","14.3"
"102372 - AU","2065","1.1"
"102372 - AU","2067","3.3"
"102372 - AU","2068","4.4"
"102372 - AU","2075","4.4"
"102372 - AU","2078","5.5"
"102372 - AU","2079","2.2"
"102372 - AU","2083","2.2"
"102372 - AU","2088","3.3"
"102372 - AU","2095","4.4"
"102372 - AU","2096","3.3"
"102372 - AU","2098","3.3"
"102372 - AU","2100","3.3"
"102372 - AU","2114","2.2"
"102372 - AU","2138","4.4"
"102372 - AU","2147","1.1"
"102372 - AU","2155","4.4"
"102372 - AU","2159","4.4"
"102372 - AU","2160","2.2"
"102372 - AU","2161","2.2"
"102372 - AU","2163","1.1"
"102372 - AU","2169","1.1"
"102372 - AU","2172","2.2"
"102372 - AU","2175","3.3"
"102372 - AU","2194","2.2"
"102372 - AU","2205","3.3"
"102372 - AU","2710","5.5"
"102372 - AU","2713","6.6"
"102372 - AU","2715","8.8"
"102372 - AU","3001","3.3"
"102372 - AU","3003","2.2"
"102372 - AU","3004","1.1"
"102372 - AU","3005","2.2"
"102372 - AU","3006","4.4"
"102372 - AU","3008","2.2"
"102372 - AU","3011","8.8"
"102372 - AU","3014","4.4"
"102372 - AU","3017","4.4"
"102372 - AU","3018","1.1"
"102372 - AU","3019","1.1"
"102372 - AU","3022","5.5"
"102372 - AU","3024","4.95"
"102372 - AU","3025","5.5"
"102372 - AU","3026","5.5"
"102372 - AU","3027","16.5"
"102372 - AU","3028","4.4"
"102372 - AU","3030","4.4"
"102372 - AU","3031","2.2"
"102372 - AU","3032","2.2"
"102372 - AU","3033","4.4"
"102372 - AU","3034","8.25"
"102372 - AU","3035","1.1"
"102372 - AU","3036","4.4"
"102372 - AU","3037","5.5"
"102372 - AU","3038","1.1"
"102372 - AU","3039","11"
"102372 - AU","3040","2.2"
"102372 - AU","3042","1.1"
"102372 - AU","3043","2.2"
"102372 - AU","3044","7.7"
"102372 - AU","3045","5.5"
"102372 - AU","3046","1.1"
"102372 - AU","3047","6.6"
"102372 - AU","3048","0.55"
"102372 - AU","3050","3.3"
"102372 - AU","3051","6.6"
"102372 - AU","3052","5.5"
"102372 - AU","3053","3.3"
"102372 - AU","3054","1.1"
"102372 - AU","3058","1.1"
"102372 - AU","3059","6.6"
"102372 - AU","3060","3.3"
"102372 - AU","3065","8.8"
"102372 - AU","3066","6.6"
"102372 - AU","3068","5.5"
"102372 - AU","3073","7.7"
"102372 - AU","3074","5.5"
"102372 - AU","3075","1.1"
"102372 - AU","3078","7.7"
"102372 - AU","3079","10.45"
"102372 - AU","3080","12.1"
"102372 - AU","3081","1.1"
"102372 - AU","3082","5.5"
"102372 - AU","3086","2.2"
"102372 - AU","3097","4.4"
"102372 - AU","3099","2.2"
"102372 - AU","3100","1.1"
"102372 - AU","3101","9.9"
"102372 - AU","3103","3.3"
"102372 - AU","3108","6.6"
"102372 - AU","3110","2.2"
"102372 - AU","3111","6.6"
"102372 - AU","3112","7.7"
"102372 - AU","3114","2.2"
"102372 - AU","3118","1.1"
"102372 - AU","3119","5.5"
"102372 - AU","3121","1.1"
"102372 - AU","3122","5.5"
"102372 - AU","3125","3.3"
"102372 - AU","3126","1.1"
"102372 - AU","3127","2.2"
"102372 - AU","3129","2.2"
"102372 - AU","3131","6.6"
"102372 - AU","3133","6.6"
"102372 - AU","3138","2.2"
"102372 - AU","3141","3.3"
"102372 - AU","3144","1.1"
"102372 - AU","3148","2.2"
"102372 - AU","3150","4.4"
"102372 - AU","3153","3.3"
"102372 - AU","3155","2.2"
"102372 - AU","3169","1.1"
"102372 - AU","3172","1.1"
"102372 - AU","3179","1.1"
"102372 - AU","3180","2.2"
"102372 - AU","3709","6.6"
"102372 - AU","3720","3.3"
"102372 - AU","3721","3.3"
"102372 - AU","5002","3.3"
"102372 - AU","5003","3.3"
"102372 - AU","5004","2.2"
"102372 - AU","5005","6.6"
"102372 - AU","5006","7.7"
"102372 - AU","5007","3.3"
"102372 - AU","5011","5.5"
"102372 - AU","5014","7.7"
"102372 - AU","5016","4.4"
"102372 - AU","5017","2.2"
"102372 - AU","5018","2.2"
"102372 - AU","5019","3.3"
"102372 - AU","5021","3.3"
"102372 - AU","5023","1.1"
"102372 - AU","5024","13.2"
"102372 - AU","5026","1.1"
"102372 - AU","5028","2.75"
"102372 - AU","5029","2.2"
"102372 - AU","5041","2.75"
"102372 - AU","5052","4.4"
"102372 - AU","5703","5.5"
"102372 - AU","7001","4.4"
"102372 - AU","7003","6.6"
"102372 - AU","7004","3.3"
"102372 - AU","7009","4.4"
"102372 - AU","7010","5.5"
"102372 - AU","7015","1.1"
"102372 - AU","7703","6.6"
"102372 - AU","7704","5.5"
"102372 - AU","8001","5.5"
"102372 - AU","8003","1.1"
"102372 - AU","8006","1.1"
"102377 - AU","4002","1.06"
"102377 - AU","4004","0.53"
"102377 - AU","4014","2.12"
"102377 - AU","4015","1.06"
"102377 - AU","4036","1.06"
"102377 - AU","4087","2.12"
"102377 - AU","2008","3.18"
"102377 - AU","2014","2.12"
"102377 - AU","2015","2.12"
"102377 - AU","2022","1.06"
"102377 - AU","2029","1.06"
"102377 - AU","2036","5.3"
"102377 - AU","2042","2.12"
"102377 - AU","2044","1.06"
"102377 - AU","2048","2.12"
"102377 - AU","2055","1.06"
"102377 - AU","2057","2.12"
"102377 - AU","2062","2.12"
"102377 - AU","2065","2.12"
"102377 - AU","2078","8.48"
"102377 - AU","2096","3.18"
"102377 - AU","2098","4.24"
"102377 - AU","2100","2.12"
"102377 - AU","2159","1.06"
"102377 - AU","2160","1.06"
"102377 - AU","2169","2.12"
"102377 - AU","2194","2.12"
"102377 - AU","3009","0.53"
"102377 - AU","3078","0.53"
"102377 - AU","5016","2.12"
"102377 - AU","8006","2.12"
"102378 - AU","6038","0.53"
"102378 - AU","4014","1.06"
"102378 - AU","4026","15.9"
"102378 - AU","4032","1.06"
"102378 - AU","4063","2.12"
"102378 - AU","4073","2.12"
"102378 - AU","4087","2.12"
"102378 - AU","4116","2.12"
"102378 - AU","4710","11.66"
"102378 - AU","2002","2.12"
"102378 - AU","2003","4.24"
"102378 - AU","2005","3.18"
"102378 - AU","2007","1.06"
"102378 - AU","2008","14.84"
"102378 - AU","2009","7.42"
"102378 - AU","2010","1.06"
"102378 - AU","2012","5.3"
"102378 - AU","2013","5.3"
"102378 - AU","2014","13.78"
"102378 - AU","2015","2.12"
"102378 - AU","2016","5.3"
"102378 - AU","2017","4.24"
"102378 - AU","2020","9.54"
"102378 - AU","2021","2.12"
"102378 - AU","2022","2.12"
"102378 - AU","2026","1.06"
"102378 - AU","2029","3.18"
"102378 - AU","2030","9.54"
"102378 - AU","2031","19.08"
"102378 - AU","2033","2.12"
"102378 - AU","2034","8.48"
"102378 - AU","2035","21.2"
"102378 - AU","2039","8.48"
"102378 - AU","2040","1.06"
"102378 - AU","2041","11.66"
"102378 - AU","2042","10.6"
"102378 - AU","2044","8.48"
"102378 - AU","2045","1.06"
"102378 - AU","2046","10.6"
"102378 - AU","2047","2.12"
"102378 - AU","2048","4.24"
"102378 - AU","2049","10.6"
"102378 - AU","2050","2.12"
"102378 - AU","2051","3.18"
"102378 - AU","2052","6.36"
"102378 - AU","2053","15.9"
"102378 - AU","2054","5.3"
"102378 - AU","2055","10.6"
"102378 - AU","2056","2.12"
"102378 - AU","2057","5.3"
"102378 - AU","2058","6.36"
"102378 - AU","2062","10.6"
"102378 - AU","2063","4.24"
"102378 - AU","2064","3.18"
"102378 - AU","2065","4.24"
"102378 - AU","2066","3.18"
"102378 - AU","2067","5.3"
"102378 - AU","2068","9.54"
"102378 - AU","2074","2.12"
"102378 - AU","2075","4.24"
"102378 - AU","2076","2.12"
"102378 - AU","2077","7.42"
"102378 - AU","2078","7.42"
"102378 - AU","2079","1.06"
"102378 - AU","2081","3.18"
"102378 - AU","2082","4.24"
"102378 - AU","2083","2.12"
"102378 - AU","2085","11.66"
"102378 - AU","2087","11.66"
"102378 - AU","2088","4.24"
"102378 - AU","2093","10.6"
"102378 - AU","2094","8.48"
"102378 - AU","2095","2.12"
"102378 - AU","2096","2.12"
"102378 - AU","2097","9.54"
"102378 - AU","2098","5.3"
"102378 - AU","2099","8.48"
"102378 - AU","2100","1.06"
"102378 - AU","2105","1.06"
"102378 - AU","2113","1.06"
"102378 - AU","2114","4.24"
"102378 - AU","2116","9.54"
"102378 - AU","2122","1.06"
"102378 - AU","2125","2.12"
"102378 - AU","2134","2.12"
"102378 - AU","2138","6.36"
"102378 - AU","2147","7.42"
"102378 - AU","2149","1.06"
"102378 - AU","2154","3.18"
"102378 - AU","2159","4.24"
"102378 - AU","2160","10.6"
"102378 - AU","2163","3.18"
"102378 - AU","2164","3.18"
"102378 - AU","2169","4.24"
"102378 - AU","2172","4.24"
"102378 - AU","2175","1.06"
"102378 - AU","2194","2.12"
"102378 - AU","2199","1.06"
"102378 - AU","2205","2.12"
"102378 - AU","2217","2.12"
"102378 - AU","2710","13.78"
"102378 - AU","3014","4.24"
"102378 - AU","3030","4.24"
"102378 - AU","3031","1.06"
"102378 - AU","3059","0.53"
"102378 - AU","3068","1.06"
"102378 - AU","3078","3.18"
"102378 - AU","3082","1.06"
"102378 - AU","3099","2.12"
"102378 - AU","3103","1.06"
"102378 - AU","3125","0.53"
"102378 - AU","3155","8.48"
"102378 - AU","3180","2.12"
"102378 - AU","3709","0.53"
"102378 - AU","5005","3.18"
"102378 - AU","7001","1.06"
"102378 - AU","7003","3.18"
"102378 - AU","7015","1.06"
"102378 - AU","8001","1.06"
"102378 - AU","8006","1.06"
"102380 - AU","6005","1.16"
"102380 - AU","6006","1.16"
"102380 - AU","6009","1.16"
"102380 - AU","2025","2.32"
"102380 - AU","2036","1.16"
"102380 - AU","2037","4.64"
"102380 - AU","2039","2.32"
"102380 - AU","2048","2.32"
"102380 - AU","2064","2.32"
"102380 - AU","2078","5.8"
"102380 - AU","2093","2.32"
"102380 - AU","2147","0.58"
"102380 - AU","2168","1.16"
"102380 - AU","2169","1.16"
"102380 - AU","2206","8.12"
"102380 - AU","2710","1.16"
"102380 - AU","3001","1.16"
"102380 - AU","3025","2.32"
"102380 - AU","3026","3.48"
"102380 - AU","3027","3.48"
"102380 - AU","3034","1.16"
"102380 - AU","3051","3.48"
"102380 - AU","3060","1.16"
"102380 - AU","3169","1.16"
"102380 - AU","3176","1.16"
"102380 - AU","3709","1.16"
"102380 - AU","5003","3.48"
"102380 - AU","5017","2.32"
"102380 - AU","5019","3.48"
"102380 - AU","5021","3.48"
"102380 - AU","5024","3.48"
"102380 - AU","5029","1.16"
"102380 - AU","5037","8.12"
"102380 - AU","5041","1.16"
"102380 - AU","5703","4.64"
"102381 - AU","6001","1.3"
"102381 - AU","6001","3.9"
"102381 - AU","6002","2.6"
"102381 - AU","6002","1.3"
"102381 - AU","6003","1.3"
"102381 - AU","6003","5.2"
"102381 - AU","6006","10.4"
"102381 - AU","6007","2.6"
"102381 - AU","6007","2.6"
"102381 - AU","6008","13"
"102381 - AU","6009","13"
"102381 - AU","6010","2.6"
"102381 - AU","6011","6.5"
"102381 - AU","6012","3.9"
"102381 - AU","6013","19.5"
"102381 - AU","6017","2.6"
"102381 - AU","6017","2.6"
"102381 - AU","6018","1.3"
"102381 - AU","6021","5.2"
"102381 - AU","6021","3.9"
