 episode  sum_reward  tardiness
       1  -32.714701   884310.0
       2  -10.847896   274990.0
       3  -54.299647  1448040.0
       4  -49.919309  1338670.0
       5  -63.484267  1675660.0
       6  -24.134872   629650.0
       7   -9.376080   258220.0
       8  -61.960296  1695770.0
       9  -38.977444  1035700.0
      10  -25.812691   682070.0
      11  -60.795180  1626430.0
      12 -188.277805  5081720.0
      13  -62.638084  1707370.0
      14   -9.332003   251370.0
      15  -31.127101   854120.0
      16  -55.000209  1435390.0
      17  -13.915958   346450.0
      18  -76.569215  2077120.0
      19  -10.421097   269420.0
      20  -19.648680   517640.0
      21  -34.848174   951450.0
      22  -33.654702   925540.0
      23  -43.725580  1126100.0
      24  -57.540657  1534390.0
      25  -49.416028  1314390.0
      26  -22.982691   619450.0
      27  -42.306056  1157150.0
      28 -109.885461  3019120.0
      29  -35.156840   957040.0
      30  -49.399167  1331210.0
      31  -32.455840   869260.0
      32  -79.994330  2147870.0
      33  -37.754021  1026200.0
      34  -32.902590   867850.0
      35 -106.992497  2882110.0
      36  -44.440715  1203890.0
      37  -75.882788  2020920.0
      38  -53.166810  1442220.0
      39  -78.142639  2095850.0
      40  -47.348373  1272230.0
      41  -11.594715   291390.0
      42  -33.485211   916380.0
      43  -52.550927  1444110.0
      44  -47.173961  1276840.0
      45   -8.576163   224750.0
      46  -33.929750   918710.0
      47  -33.591785   919410.0
      48  -24.931798   676830.0
      49  -34.143902   917520.0
      50  -87.681429  2375130.0
      51  -71.535471  1918540.0
      52  -10.249889   270740.0
      53   -8.726017   237260.0
      54  -11.171114   293720.0
      55  -59.860947  1598580.0
      56  -19.879288   527670.0
      57  -32.116176   857960.0
      58 -101.634286  2812410.0
      59  -68.261520  1816210.0
      60  -11.216858   297160.0
      61  -47.073264  1283380.0
      62  -21.483156   573390.0
      63   -9.850312   264320.0
      64  -28.847580   740670.0
      65  -44.082517  1156370.0
      66   -9.854288   261480.0
      67  -58.153777  1580140.0
      68  -46.805121  1277820.0
      69  -84.203488  2282360.0
      70   -8.560688   231770.0
      71  -10.349850   269620.0
      72  -13.928632   375120.0
      73  -35.664181   938190.0
      74   -8.913542   244210.0
      75  -12.713743   339350.0
      76 -111.228339  2998280.0
      77  -79.945416  2175080.0
      78  -11.621715   322680.0
      79  -19.993726   551070.0
      80  -29.317177   773460.0
      81  -28.306195   744890.0
      82  -16.206507   438070.0
      83   -9.910316   274080.0
      84   -9.247896   253300.0
      85  -25.273674   687740.0
      86  -11.856465   319760.0
      87   -9.632003   253530.0
      88  -53.365781  1466970.0
      89  -12.966687   336510.0
      90  -10.996767   296290.0
      91  -10.167597   268990.0
      92  -12.873073   340460.0
      93  -38.525827  1003060.0
      94  -17.432525   469170.0
      95  -10.461583   277370.0
      96  -35.693114   948790.0
      97  -10.513302   275700.0
      98   -9.083673   244980.0
      99  -17.532215   468130.0
     100  -22.506681   557430.0
     101  -44.363752  1239050.0
     102  -15.643570   418170.0
     103   -9.748972   267350.0
     104  -28.191121   737510.0
     105  -10.780916   279960.0
     106  -34.134837   918780.0
     107  -33.834531   882900.0
     108  -69.702147  1888110.0
     109  -10.701313   272950.0
     110   -7.070271   189590.0
     111  -36.849972   943730.0
     112  -32.548444   865180.0
     113  -11.167809   299280.0
     114  -38.325250  1032400.0
     115  -77.405964  2133270.0
     116   -9.055903   241990.0
     117  -88.767794  2397810.0
     118  -15.389826   407000.0
     119  -30.380729   801610.0
     120  -14.281563   377290.0
     121  -40.600407  1071050.0
     122  -24.996587   656420.0
     123  -30.277277   800810.0
     124  -76.218979  2043510.0
     125  -21.509104   585990.0
     126  -11.809375   300100.0
     127  -44.175500  1159840.0
     128  -18.336656   479710.0
     129  -11.892514   319660.0
     130  -33.612520   876930.0
     131  -27.717493   710700.0
     132  -13.789507   363830.0
     133  -64.655007  1759320.0
     134  -16.956274   444260.0
     135  -27.872410   755680.0
     136  -56.873738  1534250.0
     137  -17.484052   478810.0
     138  -31.422604   858490.0
     139  -36.431875   949790.0
     140  -16.864097   460600.0
     141 -110.633388  2969860.0
     142  -57.215389  1535240.0
     143  -76.423513  2063970.0
     144  -53.729980  1435990.0
     145  -16.421347   442350.0
     146  -27.574753   764190.0
     147  -10.813115   290930.0
     148  -31.897614   843340.0
     149  -52.276163  1385400.0
     150  -34.584452   886890.0
