 episode  sum_reward  tardiness
       1   -0.145094       56.0
       2   -0.000153        0.0
       3   -0.064753       25.0
       4   -0.072905       28.0
       5   -0.373671      143.0
       6   -0.083024       32.0
       7   -0.020520        8.0
       8   -0.006312        2.0
       9   -0.550247      210.0
      10   -0.016968        6.0
      11   -0.002555        1.0
      12   -0.038330       15.0
      13   -0.056601       22.0
      14   -0.038330       15.0
      15   -0.180230       70.0
      16   -0.045997       18.0
      17   -0.057981       22.0
      18   -0.020724        8.0
      19   -0.219583       85.0
      20   -0.160247       62.0
      21    0.000000        0.0
      22   -0.003986        1.0
      23   -0.119974       46.0
      24   -0.234455       90.0
      25   -0.066951       26.0
      26    0.000000        0.0
      27   -0.810946      312.0
      28   -0.154804       60.0
      29   -0.161167       62.0
      30   -0.025860       10.0
      31   -0.132010       50.0
      32   -0.028825       11.0
      33   -0.507981      195.0
      34    0.000000        0.0
      35   -0.280656      107.0
      36   -0.138322       53.0
      37   -0.043901       17.0
      38   -0.008049        3.0
      39   -0.225869       87.0
      40   -0.061865       24.0
      41   -0.166175       64.0
      42   -0.013595        4.0
      43   -0.013262        5.0
      44   -0.064651       25.0
      45   -0.305954      118.0
      46   -0.051107       20.0
      47   -0.101550       39.0
      48   -0.181252       70.0
      49   -0.043595       17.0
      50    0.000000        0.0
      51   -0.028109       11.0
      52    0.000000        0.0
      53   -0.240281       92.0
      54   -0.092172       36.0
      55   -0.444813      170.0
      56   -0.007717        3.0
      57   -0.240332       93.0
      58   -0.134949       52.0
      59   -0.040963       16.0
      60   -0.010503        4.0
      61   -0.058416       22.0
      62   -0.613288      235.0
      63   -0.012777        5.0
      64   -0.046303       18.0
      65   -0.077402       30.0
      66    0.000000        0.0
      67   -0.020443        8.0
      68   -0.002555        1.0
      69   -0.095673       37.0
      70    0.000000        0.0
      71   -0.470060      181.0
      72   -0.274881      105.0
      73   -0.242709       92.0
      74   -0.087189       34.0
      75   -0.002555        1.0
      76   -0.036082       14.0
      77    0.000000        0.0
      78   -0.070835       27.0
