 episode  sum_reward  tardiness
       1  -11.897875   302330.0
       2  -65.102868  1704290.0
       3  -12.795139   332430.0
       4  -57.954809  1494390.0
       5 -119.540050  3241640.0
       6  -11.416844   306720.0
       7   -9.959160   261230.0
       8  -32.673879   877380.0
       9  -72.050844  1902280.0
      10  -58.706555  1604340.0
      11  -38.409167  1040880.0
      12  -30.280435   794290.0
      13  -37.207083  1008440.0
      14  -24.131459   642000.0
      15  -54.869112  1462100.0
      16   -8.781767   228670.0
      17  -10.399354   272860.0
      18   -5.360903   148640.0
      19  -11.575944   287310.0
      20  -30.290629   781370.0
      21   -9.546486   259170.0
      22  -48.058642  1301470.0
      23  -23.397343   639260.0
      24  -97.173016  2642460.0
      25  -51.506108  1399190.0
      26  -13.767129   370030.0
      27  -29.464121   786850.0
      28  -46.456129  1209650.0
      29  -11.378159   317180.0
      30  -24.689719   662820.0
      31   -8.991246   236510.0
      32  -28.533882   723300.0
      33   -5.172674   143950.0
      34   -6.453306   178970.0
      35  -28.157274   723360.0
      36   -9.084361   222200.0
      37 -117.276195  3190540.0
      38  -37.853729   975300.0
      39  -26.389414   707200.0
      40  -30.340955   757700.0
      41  -46.585997  1250300.0
      42  -35.360976   934340.0
      43  -30.456573   778070.0
      44  -32.013427   843960.0
      45  -45.906420  1251660.0
      46  -38.418140  1004560.0
      47  -10.299542   270540.0
      48  -44.181187  1219840.0
      49  -29.039452   745570.0
      50  -56.631223  1514000.0
      51 -101.971430  2743190.0
      52  -40.090556  1066740.0
      53   -9.916167   253280.0
      54   -8.607791   239350.0
      55   -9.788559   268840.0
      56  -38.243626  1003010.0
      57  -15.208597   416640.0
      58  -41.812760  1130440.0
      59   -8.275750   223620.0
      60  -87.526068  2355680.0
      61  -51.424062  1426040.0
      62 -107.411886  2911970.0
      63  -15.662618   414510.0
      64  -54.645343  1447860.0
      65  -11.382427   300560.0
      66  -35.755546   973200.0
      67  -20.147167   531130.0
      68  -31.985305   876480.0
      69  -37.529889  1018040.0
      70   -9.237090   249730.0
      71  -33.322493   865410.0
      72  -56.395716  1529910.0
      73   -5.102208   141180.0
      74   -9.960038   258060.0
      75  -11.067886   285870.0
      76  -11.064927   267640.0
      77  -33.982761   918470.0
      78   -7.451160   195130.0
      79  -32.082903   832220.0
      80  -94.316197  2563030.0
      81  -20.075580   519950.0
      82  -15.726635   442630.0
      83  -12.159437   341720.0
      84   -5.141938   143150.0
      85 -103.450524  2788270.0
      86   -4.872340   135840.0
      87  -98.211485  2637970.0
      88  -98.098199  2658050.0
      89  -10.276021   275820.0
      90   -9.655812   257380.0
      91   -7.660719   215190.0
      92  -25.417761   695570.0
      93  -55.417910  1505240.0
      94   -5.067073   141090.0
      95  -27.338358   730140.0
      96  -20.206819   548380.0
      97  -39.988608  1024720.0
      98  -45.588946  1263620.0
      99   -4.410660   122700.0
     100  -40.887917  1108290.0
     101  -23.905219   652980.0
     102   -7.936247   215030.0
     103   -5.426767   147620.0
     104 -108.249863  2949950.0
     105  -11.731628   292400.0
     106  -54.529048  1467880.0
     107  -21.977347   599540.0
     108  -31.094035   825750.0
     109  -43.218979  1183280.0
     110   -6.576531   167580.0
     111  -74.264646  2030070.0
