 episode  sum_reward  tardiness
       1  -53.077476  1457760.0
       2  -12.353694   303830.0
       3  -38.547965  1018680.0
       4  -99.842750  2698320.0
       5  -14.592473   400450.0
       6  -16.920510   460860.0
       7  -50.260909  1354260.0
       8  -12.346059   309890.0
       9  -29.706031   806840.0
      10  -11.563569   303270.0
      11  -52.939594  1418320.0
      12   -8.664934   233640.0
      13  -62.797166  1706590.0
      14  -13.753535   358290.0
      15  -82.866515  2250300.0
      16 -102.429482  2716180.0
      17  -12.025833   296370.0
      18   -8.311344   224510.0
      19  -18.588555   497870.0
      20  -53.266295  1429050.0
      21  -27.006080   715550.0
      22  -92.814263  2491780.0
      23  -32.105420   844440.0
      24 -120.601427  3237590.0
      25  -78.686528  2124230.0
      26  -10.812094   275680.0
      27  -40.321454  1078010.0
      28  -81.384678  2159710.0
      29  -34.394664   927020.0
      30  -95.643758  2628120.0
      31  -55.601055  1495180.0
      32  -62.152570  1682960.0
      33  -93.328192  2523700.0
      34  -52.418806  1367870.0
      35  -20.886695   568880.0
      36  -39.531462  1057270.0
      37  -62.757996  1702080.0
      38 -108.451693  2923800.0
      39  -26.945111   716120.0
      40  -31.208372   857120.0
      41  -67.432761  1819170.0
      42  -37.336996   983850.0
      43  -88.449948  2395360.0
      44  -49.963125  1359270.0
      45  -21.793927   585680.0
      46  -48.926566  1317270.0
      47  -37.905805  1021390.0
      48  -41.776527  1107340.0
      49  -53.483614  1442190.0
      50  -23.355462   619290.0
      51  -40.726278  1080340.0
      52  -40.247234  1108010.0
      53  -22.738451   613400.0
      54  -89.671686  2366740.0
      55  -56.605529  1558400.0
      56  -62.898126  1695010.0
      57  -46.844396  1244190.0
      58  -33.838243   924250.0
      59  -27.079865   745760.0
      60  -23.137903   616660.0
      61  -32.190871   871350.0
      62  -47.696581  1317090.0
      63  -34.322587   921620.0
      64  -50.212813  1358800.0
      65  -48.641136  1272020.0
      66  -39.357299  1052940.0
      67 -101.971185  2736790.0
      68  -57.540233  1567830.0
      69  -14.392264   387280.0
      70  -58.451317  1583760.0
      71  -34.164945   924200.0
      72  -39.916653  1055490.0
      73  -35.055229   956820.0
      74  -30.114504   824900.0
      75  -10.375424   271700.0
      76  -12.478173   331910.0
      77  -24.955118   674050.0
      78  -27.409584   728990.0
      79  -66.034368  1794040.0
      80   -5.065247   136850.0
      81  -13.096587   345200.0
      82  -66.728740  1841270.0
      83  -46.688788  1233380.0
      84  -49.162201  1304270.0
      85   -8.184208   224980.0
      86  -87.574090  2380820.0
      87  -25.357250   689880.0
      88  -16.149538   424010.0
      89   -5.437174   151620.0
      90   -4.960969   132660.0
      91  -47.714653  1279520.0
      92   -7.408597   200450.0
      93   -8.495903   226030.0
      94  -21.482347   596390.0
      95  -55.450444  1536600.0
      96  -10.523389   277130.0
      97  -24.993736   676460.0
      98 -121.425508  3307180.0
      99  -23.058631   631790.0
     100  -24.589885   661090.0
     101  -50.102819  1330380.0
     102  -49.729441  1336390.0
     103  -25.118368   680400.0
     104  -12.015337   310360.0
     105  -22.002024   618310.0
     106   -7.717111   212210.0
     107  -95.829050  2581220.0
     108   -7.934302   214220.0
     109  -10.199604   276030.0
     110  -14.246077   388150.0
     111   -5.405583   146730.0
     112  -23.509326   635560.0
     113  -25.268893   684840.0
     114   -8.208719   226980.0
     115  -95.586343  2605030.0
     116  -26.762684   720720.0
     117  -36.060455   951970.0
     118   -8.803340   236600.0
     119  -38.746934  1058130.0
     120  -11.179944   295090.0
     121  -11.780229   311910.0
     122  -32.537049   867630.0
     123  -11.375111   282920.0
     124  -12.339806   336450.0
     125  -57.741202  1588670.0
     126   -9.235160   250060.0
     127  -18.411122   494510.0
     128  -30.945674   821320.0
     129  -16.578843   459970.0
     130  -86.095573  2323630.0
     131  -12.305222   311370.0
     132  -21.541886   582670.0
     133   -9.805097   264670.0
     134   -8.642195   233010.0
     135  -29.898990   797220.0
     136  -10.246438   267950.0
     137   -8.147153   219990.0
     138   -8.771691   231440.0
     139  -10.192021   268220.0
     140  -13.679743   360420.0
     141  -12.397205   326300.0
     142  -44.435090  1171900.0
     143   -7.746392   209180.0
     144  -11.257840   292820.0
     145  -10.042993   270110.0
     146  -11.456142   289770.0
     147  -10.552979   283310.0
     148  -14.584135   369970.0
     149  -29.020191   788060.0
     150  -25.619136   698350.0
     151  -11.015514   297450.0
     152  -13.882340   371430.0
     153  -16.180472   434960.0
     154  -10.204708   273110.0
     155  -16.549653   452670.0
     156  -58.453256  1569550.0
     157   -9.189816   248870.0
     158   -8.990920   235780.0
     159  -22.716659   611710.0
     160   -5.639281   155390.0
     161  -91.160719  2525290.0
     162  -30.995486   835820.0
     163  -33.989493   876860.0
     164  -23.304041   633690.0
     165  -24.840924   665440.0
     166  -33.264479   922620.0
     167  -19.378865   531270.0
     168   -7.585434   206030.0
     169  -61.878900  1676860.0
     170  -21.458340   560710.0
     171  -13.701225   364980.0
     172  -11.442681   281800.0
     173   -9.952504   264040.0
     174  -31.770000   836130.0
     175   -4.981708   138110.0
     176  -42.919354  1189750.0
     177   -9.593930   256630.0
     178  -11.235962   279100.0
     179   -7.236233   195430.0
     180  -11.056614   287790.0
     181  -29.097823   757480.0
     182  -32.615271   875180.0
     183  -14.288705   365240.0
     184   -8.776892   237000.0
     185  -10.915646   276640.0
     186   -9.912820   266590.0
     187  -30.275614   781980.0
     188  -23.393872   613500.0
     189   -5.511094   152520.0
     190  -45.335368  1192820.0
     191   -9.663208   228790.0
     192  -48.263468  1285430.0
     193  -64.748793  1750870.0
     194  -56.500961  1534110.0
     195  -16.369646   429520.0
     196  -12.640431   320410.0
     197  -10.510285   283700.0
     198  -98.357625  2640970.0
     199  -86.206271  2343680.0
     200  -55.245080  1528840.0
     201  -11.553563   301910.0
     202  -23.228032   643050.0
     203  -31.184257   824380.0
     204   -7.314864   201980.0
     205   -6.024128   166530.0
     206   -5.454663   144980.0
     207  -49.323025  1347130.0
     208  -11.756920   300540.0
     209  -29.412021   777510.0
     210  -42.297292  1136450.0
     211  -91.727268  2474140.0
     212  -32.506091   870910.0
     213   -9.207260   244380.0
     214  -55.740489  1532880.0
     215   -5.512677   145960.0
     216  -13.607538   369470.0
     217  -31.743222   826280.0
     218  -29.132584   792020.0
     219   -5.304694   147720.0
     220  -66.538167  1766790.0
     221  -29.809351   788740.0
     222  -58.388666  1583960.0
     223  -38.738747  1047350.0
     224   -8.946698   237610.0
     225  -31.432236   824150.0
     226  -41.606684  1093140.0
     227   -7.336767   197460.0
     228  -17.657882   485240.0
     229   -8.252969   201600.0
     230  -32.611722   842520.0
     231  -14.685424   377990.0
     232  -58.652174  1575650.0
     233  -55.245479  1497570.0
     234   -1.343785    36150.0
     235  -54.856041  1531340.0
     236   -0.873660    18800.0
     237  -94.595052  2516120.0
     238   -0.995333    28000.0
     239   -1.553125    43540.0
     240   -2.819420    59790.0
     241   -0.404729     7020.0
     242   -1.348642    36360.0
     243   -0.595837    11620.0
     244  -34.646834   934790.0
     245   -2.207715    59930.0
     246   -5.327129   147180.0
     247  -16.739750   453510.0
     248   -1.943722    55070.0
     249   -1.328573    37440.0
     250   -0.159403     1600.0
     251  -23.833136   677390.0
     252  -83.885379  2291560.0
     253   -4.009976   112490.0
     254  -36.370868  1003760.0
     255    0.000000        0.0
     256   -0.056104     1600.0
     257   -2.251132    60340.0
     258  -52.690681  1433690.0
     259  -91.760459  2466000.0
     260  -17.233819   473020.0
     261   -0.052767     1420.0
     262   -0.658260    17360.0
     263   -6.630097   190000.0
     264  -34.820972   961810.0
     265   -0.084997     2420.0
     266  -18.167893   515410.0
     267  -56.958723  1551780.0
     268   -0.861972    16400.0
     269   -3.220906    84020.0
     270  -32.213906   909170.0
     271   -2.476774    66390.0
     272   -4.920483   134710.0
     273   -2.477212    67400.0
     274   -2.404122    65860.0
     275  -31.103306   812810.0
     276   -0.458816     3520.0
     277   -0.023701      410.0
     278   -0.065625     1890.0
     279  -11.945823   329540.0
     280   -0.221920     3910.0
     281   -3.550910    92460.0
     282   -0.085267     2420.0
     283   -2.630163    69310.0
     284   -0.029007      830.0
     285   -5.056441   139920.0
     286   -1.446774    39000.0
     287   -0.224899     1250.0
     288   -4.358437   118650.0
     289   -9.111722   245960.0
     290   -0.085052     2420.0
     291   -5.551993   154270.0
     292   -2.538559    67770.0
     293  -15.890792   440050.0
     294   -1.136198    32050.0
     295   -9.124101   242460.0
     296   -4.202778   113710.0
     297   -8.440278   227190.0
     298   -0.085267     2420.0
     299  -25.096653   699890.0
     300   -2.490076    70580.0
     301   -1.638010    41920.0
     302    0.000000        0.0
     303   -4.404080   122970.0
     304   -2.411434    62700.0
     305 -190.490077  5140150.0
     306   -0.476431    10800.0
     307  -88.039450  2533740.0
     308  -23.238576   632220.0
     309   -0.090778     2580.0
     310   -0.217104     1490.0
     311  -51.470216  1402640.0
     312   -2.339076    66240.0
     313   -0.468274    12080.0
     314   -2.006191    56970.0
     315  -15.022851   411940.0
     316   -1.082167    30480.0
     317  -24.120018   680280.0
     318  -14.453267   385430.0
     319   -8.163823   227280.0
     320   -2.092507    59330.0
     321   -0.018111        0.0
     322   -0.195354     2420.0
     323   -0.028969      830.0
     324   -0.416615    11050.0
     325    0.000000        0.0
     326   -4.186597   117090.0
     327   -9.685226   239670.0
     328   -2.718840    75820.0
     329   -4.244240   118670.0
     330   -0.462792    12600.0
     331   -0.028969      830.0
     332   -5.656226   157000.0
     333   -9.699212   264890.0
     334   -0.364493     2340.0
     335   -1.653840    41170.0
     336   -4.856382   131200.0
     337   -0.035566      930.0
     338   -0.059566        0.0
     339  -57.372254  1541120.0
     340   -1.031087    27620.0
     341   -0.041524      800.0
     342   -1.478229    41780.0
     343   -0.054788        0.0
     344   -2.051274    58080.0
     345   -2.982035    76840.0
     346   -1.658042    41750.0
     347   -0.159292     4440.0
     348   -0.378590     6310.0
     349  -75.379301  2039870.0
     350   -0.377194     6300.0
     351   -1.997906    56520.0
     352   -3.233566    78920.0
     353   -5.514212   149480.0
     354   -8.353729   224060.0
     355   -4.165326   116210.0
     356   -1.894233    53560.0
     357   -0.056962     1600.0
     358  -40.295282  1148680.0
     359   -4.149604   112220.0
     360   -1.989361    56490.0
     361  -68.208973  1879300.0
     362   -0.272601     6200.0
     363  -58.879184  1571310.0
     364   -4.698184   130850.0
     365   -2.272233    57530.0
     366    0.000000        0.0
     367   -0.029111      830.0
     368    0.000000        0.0
     369   -0.085403     2420.0
     370    0.000000        0.0
     371   -1.901399    54040.0
     372    0.000000        0.0
     373  -43.111082  1202660.0
     374   -0.796000    20900.0
     375    0.000000        0.0
     376   -4.866326   135500.0
     377  -18.739048   514130.0
     378   -0.041476      830.0
     379   -0.244205     2510.0
     380  -27.535903   740100.0
     381   -2.247514    63400.0
     382   -0.240806     2420.0
     383    0.000000        0.0
     384    0.000000        0.0
