 episode  sum_reward  tardiness
       1 -110.155127  2881310.0
       2  -62.876308  1695710.0
       3  -43.922093  1144320.0
       4  -35.965219   939080.0
       5  -10.489559   284080.0
       6 -116.446710  3193860.0
       7  -63.497076  1731370.0
       8  -33.677455   863920.0
       9  -43.015357  1153170.0
      10  -32.585445   838180.0
      11   -9.171139   251820.0
      12  -11.411826   293310.0
      13  -83.673761  2292670.0
      14  -35.117587   970470.0
      15  -10.116691   258870.0
      16  -37.412722   989400.0
      17  -59.767513  1589380.0
      18  -21.338531   587830.0
      19  -40.464372  1095890.0
      20  -92.470175  2534190.0
      21  -44.656669  1206410.0
      22  -37.825090  1016190.0
      23  -47.223444  1256960.0
      24  -99.555795  2760540.0
      25  -39.967677  1105110.0
      26  -58.445424  1586050.0
      27  -28.003705   740150.0
      28 -100.969960  2771740.0
      29   -7.624208   210580.0
      30   -9.770885   261630.0
      31  -25.697468   705680.0
      32  -67.555816  1834230.0
      33 -160.522340  4369930.0
      34  -47.492105  1286750.0
      35  -47.392781  1288870.0
      36  -92.094642  2521700.0
      37  -73.727313  1967990.0
      38   -5.395750   150020.0
      39  -49.500837  1315870.0
      40  -53.078531  1468270.0
      41   -9.843969   270940.0
      42  -66.014877  1787090.0
      43 -119.471836  3270320.0
      44  -30.927368   820920.0
      45 -118.822722  3235010.0
      46  -94.239698  2542860.0
      47  -27.625569   749080.0
      48  -20.237889   551900.0
      49   -9.733115   263730.0
      50  -21.085625   569900.0
      51  -41.511777  1077810.0
      52  -27.598768   728710.0
      53  -38.606535  1019380.0
      54 -122.942902  3308140.0
      55  -32.879351   848980.0
      56  -39.291777  1067950.0
      57   -6.504490   179380.0
      58  -21.241737   573500.0
      59  -55.478615  1512070.0
      60   -8.820722   235140.0
      61   -7.411837   202980.0
      62  -28.586358   750340.0
      63   -4.949396   136840.0
      64  -23.539524   630900.0
      65  -42.286438  1129090.0
      66  -51.921086  1376330.0
      67  -50.321046  1349540.0
      68  -45.779194  1246190.0
      69  -15.069343   405550.0
      70  -49.892447  1330000.0
      71  -10.817851   281220.0
      72  -33.814593   898570.0
      73  -35.846774   962170.0
      74  -32.291629   896680.0
      75  -61.181718  1650210.0
      76  -38.175604  1028800.0
      77  -19.677281   547980.0
      78  -12.579531   317950.0
      79  -50.869334  1353400.0
      80  -38.802192  1050830.0
      81 -111.840658  3027860.0
      82  -74.165858  2021120.0
      83  -38.167587  1041050.0
      84  -12.557892   312790.0
      85  -31.258834   835980.0
      86  -34.725841   920050.0
      87  -30.588882   817860.0
      88  -15.603122   417360.0
      89  -16.772594   457110.0
      90  -20.845542   567500.0
      91   -8.279389   224840.0
      92  -21.981132   583980.0
      93  -33.656628   908520.0
      94  -44.380164  1186920.0
      95  -13.417090   359480.0
      96   -8.682309   233780.0
      97  -11.535462   311490.0
      98  -27.091018   720370.0
      99  -87.705680  2389330.0
     100   -9.837858   264910.0
     101  -37.424753  1032040.0
     102  -10.881930   293260.0
     103   -6.351260   174330.0
     104  -29.182378   775250.0
     105  -16.934136   458450.0
     106  -29.082042   773390.0
     107  -65.489600  1730710.0
     108  -35.744254   952320.0
     109  -31.103851   819860.0
     110  -85.740682  2331020.0
     111 -111.151564  3012480.0
     112  -47.810860  1283480.0
     113  -10.427493   281100.0
     114  -11.064840   285070.0
     115  -85.765486  2306150.0
     116  -11.260705   301280.0
     117   -9.404160   252610.0
     118  -14.604903   394090.0
     119  -61.239650  1692570.0
     120   -9.463083   248900.0
     121  -14.523555   381460.0
     122  -26.324288   715100.0
     123  -12.029035   325150.0
     124  -36.000288   942550.0
     125  -33.498170   914010.0
     126  -77.030115  2074540.0
     127  -17.921917   473020.0
     128  -51.464449  1368130.0
     129  -11.440819   309440.0
     130  -74.288070  2006980.0
     131  -40.349534  1035180.0
     132  -10.849142   285260.0
     133  -93.090316  2510690.0
     134 -121.901963  3422880.0
     135  -33.857962   918520.0
