 episode  sum_reward  tardiness
       1  -24.355851   620830.0
       2  -10.004184   276250.0
       3  -77.013798  2044380.0
       4  -32.924316   858760.0
       5  -10.847538   293110.0
       6 -211.456366  5655430.0
       7  -45.717813  1227180.0
       8  -20.641212   548190.0
       9  -85.347928  2295240.0
      10  -62.528341  1671110.0
      11  -47.348500  1229350.0
      12  -61.601743  1623060.0
      13  -64.132935  1720280.0
      14  -43.705855  1182550.0
      15  -12.413295   318060.0
      16 -114.506069  3096620.0
      17  -31.574282   832680.0
      18  -10.353371   273900.0
      19  -11.072840   296490.0
      20  -23.534454   634650.0
      21  -50.935156  1372490.0
      22  -31.835326   889710.0
      23  -10.873722   281910.0
      24  -28.350150   790320.0
      25  -20.579104   540620.0
      26  -23.087709   620970.0
      27  -25.420514   703580.0
      28   -9.889642   261000.0
      29  -37.837643   983150.0
      30  -44.767121  1156990.0
      31  -12.680382   319580.0
      32  -54.643039  1471910.0
      33  -98.600042  2660440.0
      34  -44.643947  1191620.0
      35  -16.622333   447040.0
      36  -76.678638  2088490.0
      37  -10.456996   279090.0
      38  -31.338209   869120.0
      39  -18.475923   476700.0
      40  -61.687562  1674840.0
      41  -29.894018   830650.0
      42  -10.762840   286020.0
      43  -33.442402   914510.0
      44  -17.117743   432260.0
      45  -54.700086  1489180.0
      46  -43.673785  1171440.0
      47  -31.864319   845360.0
      48  -30.705329   842740.0
      49  -12.142625   303510.0
      50  -46.295958  1249410.0
      51  -55.292326  1523740.0
      52  -19.044420   506020.0
      53  -10.105313   263030.0
      54  -48.344537  1236290.0
      55   -6.136049   169060.0
      56  -35.608211   917610.0
      57  -52.335199  1424190.0
      58  -12.694354   336440.0
      59 -169.009029  4585390.0
      60  -30.862177   823820.0
      61   -7.840965   208170.0
      62  -28.258455   778330.0
      63  -13.626577   355100.0
      64  -29.472910   772940.0
      65   -9.404500   252460.0
      66   -5.428660   150230.0
      67  -29.846420   822120.0
      68  -41.461444  1111400.0
      69  -11.483080   309570.0
      70  -47.457223  1269940.0
      71  -40.234590  1068740.0
      72  -14.195871   366470.0
      73  -53.442028  1422430.0
      74   -8.720073   234810.0
      75  -13.478618   361900.0
      76  -50.578622  1353540.0
      77 -160.078563  4369720.0
      78  -55.128509  1473160.0
      79  -59.434829  1587270.0
      80  -30.190650   795360.0
      81  -16.336670   440330.0
      82  -34.439201   901370.0
      83  -29.564129   782540.0
      84 -131.942768  3595960.0
      85  -11.271379   296390.0
      86  -51.324705  1383290.0
      87  -33.138847   864440.0
      88  -49.192711  1279680.0
      89  -34.190537   922700.0
      90  -16.200548   430140.0
      91   -8.745094   224760.0
      92  -10.976701   288550.0
      93  -30.151073   799520.0
      94  -70.681090  1916130.0
      95  -10.987715   293450.0
      96  -59.498996  1622610.0
      97  -99.639191  2672420.0
      98  -27.964497   742790.0
      99  -23.357886   610640.0
     100  -15.017736   420080.0
     101  -22.023403   578060.0
     102   -5.475628   151680.0
     103   -6.344566   174650.0
     104   -4.974882   137830.0
     105  -18.413354   496080.0
     106 -123.022899  3351280.0
     107   -9.151892   244260.0
     108   -8.310090   229630.0
     109 -109.138491  2904210.0
     110  -95.947883  2685300.0
     111  -31.838906   825890.0
     112  -69.177642  1902670.0
     113  -25.622899   676430.0
     114  -37.256392  1017930.0
     115   -5.237437   145560.0
     116  -58.856031  1560300.0
     117  -25.223153   701670.0
     118   -5.780111   159860.0
     119  -12.437879   322590.0
     120   -6.111927   170860.0
     121  -10.375660   280340.0
     122  -14.999351   389600.0
     123  -39.514406  1044620.0
     124  -10.584667   286940.0
     125   -4.898545   136200.0
     126  -24.977733   677830.0
     127  -12.506746   336380.0
     128  -32.304004   837500.0
     129  -39.955618  1046000.0
     130  -37.142518  1015900.0
     131  -38.613417   981500.0
     132  -25.385375   683340.0
     133   -9.175764   246550.0
     134   -6.197014   171930.0
     135   -9.137364   240070.0
     136  -35.128909   905420.0
     137  -13.442489   342300.0
     138  -12.348764   312360.0
     139  -25.735573   655440.0
     140  -14.570226   368800.0
     141  -52.077639  1442440.0
     142  -50.106930  1375300.0
     143  -35.996795   989170.0
     144  -32.834479   849600.0
     145   -9.587684   255590.0
     146 -108.509300  2944450.0
     147  -47.361209  1296680.0
     148  -11.573240   299260.0
     149  -40.537083  1104030.0
     150  -30.149145   836130.0
     151  -41.478735  1143170.0
     152  -57.116177  1548720.0
     153  -69.063568  1880380.0
     154  -28.337803   759190.0
     155   -9.714542   244480.0
     156  -26.415712   716080.0
     157  -29.716778   812140.0
     158  -10.663934   277170.0
     159  -14.211760   397960.0
     160  -35.796063   955790.0
     161  -44.401281  1143120.0
     162  -11.586510   310820.0
     163  -10.999444   278880.0
     164  -27.864406   738100.0
     165  -13.003243   364330.0
     166  -23.196118   631710.0
     167  -25.514069   704400.0
     168  -32.388603   844490.0
     169  -81.924354  2217010.0
     170  -33.067979   853680.0
     171  -40.381705  1077640.0
     172 -102.014521  2742800.0
     173  -50.813844  1340990.0
     174  -62.108999  1661160.0
     175  -48.277056  1287360.0
     176  -53.626651  1432320.0
     177  -44.974211  1162600.0
     178  -50.482659  1374980.0
     179  -39.035000  1012430.0
     180  -99.639269  2673390.0
     181  -52.810483  1405940.0
     182  -34.513666   904510.0
     183  -29.365288   803700.0
     184  -47.521347  1248190.0
     185  -53.397869  1413050.0
     186  -59.850347  1591630.0
     187  -16.001549   415030.0
     188  -58.508913  1549010.0
     189  -23.973288   631700.0
     190  -88.651720  2379150.0
     191  -65.074916  1752320.0
     192  -63.645552  1688210.0
     193  -79.735081  2139180.0
     194  -79.379325  2111770.0
