 episode  sum_reward  tardiness
       1  -50.528337  1373140.0
       2  -44.234302  1203190.0
       3  -28.548414   771200.0
       4  -28.904517   783030.0
       5  -10.803299   269820.0
       6  -59.302504  1578080.0
       7  -12.154879   302430.0
       8  -59.981906  1632660.0
       9 -121.025766  3261550.0
      10  -79.887404  2150410.0
      11  -56.799667  1546850.0
      12  -35.328062   953390.0
      13  -34.440552   907290.0
      14  -38.983368  1031470.0
      15  -27.058664   700080.0
      16  -25.562792   701410.0
      17  -78.488285  2134690.0
      18  -59.085969  1564560.0
      19  -59.997721  1627020.0
      20  -75.879773  2086250.0
      21  -39.061149  1026130.0
      22  -32.138549   841000.0
      23  -75.702519  2055810.0
      24  -53.178441  1414240.0
      25  -32.642597   865820.0
      26 -111.806334  3022210.0
      27  -16.643657   457450.0
      28  -46.518912  1228990.0
      29  -79.128496  2139950.0
      30  -55.668874  1482260.0
      31  -35.071576   895350.0
      32  -55.271802  1443950.0
      33  -13.642240   366920.0
      34  -12.141708   312720.0
      35  -15.319094   410570.0
      36  -33.358848   884880.0
      37  -85.321858  2296680.0
      38  -51.329337  1362140.0
      39  -35.649063   915140.0
      40  -41.281108  1105760.0
      41  -65.438465  1723990.0
      42  -65.130538  1741220.0
      43  -70.104416  1891080.0
      44  -50.496362  1338100.0
      45  -23.444583   635500.0
      46  -34.280024   906020.0
      47  -56.779042  1532890.0
      48  -62.165470  1649080.0
      49  -43.430267  1154010.0
      50  -14.509219   393130.0
      51  -39.094666  1067060.0
      52  -36.802077  1006990.0
      53  -45.338643  1236610.0
      54  -48.782722  1328710.0
      55  -41.801928  1117360.0
      56  -23.304824   637260.0
      57  -50.357349  1347500.0
      58  -16.019358   441500.0
      59  -21.609274   554500.0
      60  -33.395181   886410.0
      61  -20.223021   521940.0
      62  -12.605156   310020.0
      63  -12.016833   297850.0
      64  -19.911132   531940.0
      65  -51.965311  1420770.0
      66  -46.865708  1233610.0
      67   -9.366403   250370.0
      68  -69.270305  1854000.0
      69  -36.567031   962010.0
      70 -102.161065  2751050.0
      71  -35.118167   924540.0
      72  -12.383937   343430.0
      73   -9.376969   253700.0
      74  -30.666996   810280.0
      75  -16.692969   448000.0
      76  -25.871712   715350.0
      77  -18.977507   515580.0
      78  -10.059889   246520.0
      79  -32.841920   850180.0
      80  -68.335742  1842860.0
      81  -14.155941   344200.0
      82   -6.795066   189400.0
      83   -9.440632   248780.0
      84   -6.548132   176200.0
      85 -145.505130  3972040.0
      86   -5.053739   139060.0
      87  -24.976479   693880.0
      88  -77.286497  2079160.0
      89  -21.439746   589380.0
      90  -76.202385  2089260.0
      91  -50.636814  1393220.0
      92  -12.559837   318350.0
      93  -48.024680  1312960.0
      94  -12.972413   337280.0
      95 -110.248454  2974510.0
      96  -70.889639  1940030.0
      97  -56.291667  1508780.0
      98  -57.381684  1508690.0
      99   -6.492458   176650.0
     100  -30.587924   824560.0
     101  -10.038472   268100.0
     102  -11.344729   302740.0
     103  -37.642163  1014400.0
     104  -34.413278   936160.0
     105  -69.810436  1931370.0
     106   -9.786670   271520.0
     107   -9.047611   245990.0
     108  -39.991405  1116690.0
     109  -18.553396   510310.0
     110  -11.021524   298100.0
     111  -48.611017  1320820.0
     112  -31.839695   843950.0
     113  -42.269917  1167700.0
     114  -18.788302   517950.0
     115  -10.042167   267110.0
     116   -8.171354   217410.0
     117  -25.766423   693340.0
     118 -110.407120  3007360.0
     119  -34.992774   978350.0
     120  -41.235562  1085310.0
     121  -20.811315   573440.0
     122  -77.513010  2097940.0
     123  -27.228802   736830.0
     124  -22.826486   641410.0
     125  -85.466028  2347750.0
     126  -22.691889   618530.0
     127  -36.163308   994980.0
     128  -13.446604   337530.0
     129  -41.798732  1131130.0
     130   -5.893760   161910.0
     131  -32.538090   867470.0
     132  -17.375719   445670.0
     133   -7.689983   212590.0
     134  -41.787993  1122300.0
     135 -118.456749  3207780.0
     136 -124.910067  3406700.0
     137 -113.199470  3087500.0
     138  -42.335764  1170210.0
     139  -34.115260   935940.0
     140  -11.999128   317000.0
     141 -111.501908  3038740.0
     142  -10.566101   279650.0
     143  -46.364775  1224230.0
     144  -10.465403   280810.0
     145  -63.574174  1744260.0
     146  -26.417416   744920.0
     147  -43.158747  1201790.0
     148  -21.880712   611900.0
     149  -45.349892  1224520.0
     150  -73.185861  2022340.0
     151  -11.913031   308430.0
     152   -5.490451   140840.0
     153  -17.896872   492260.0
     154  -19.563493   519340.0
     155   -9.684108   260140.0
     156   -9.960639   276850.0
     157  -12.029392   314760.0
     158  -24.630591   663270.0
     159  -11.191820   271780.0
     160  -68.022711  1901790.0
     161  -32.547861   891710.0
     162  -11.147743   313680.0
     163  -26.687278   702680.0
     164  -31.838191   845580.0
     165  -85.383955  2310990.0
     166  -32.290059   838340.0
     167  -26.442198   690320.0
     168  -62.449033  1681450.0
     169  -33.251344   895870.0
     170  -31.791763   880890.0
     171  -46.714080  1287500.0
     172  -58.032677  1566990.0
     173  -18.041879   487580.0
     174  -26.881899   719920.0
     175  -13.880129   390860.0
     176   -8.229021   230620.0
     177   -9.466413   249430.0
     178   -4.940156   138490.0
     179  -31.102851   817710.0
     180 -119.511135  3254680.0
     181  -21.078666   559300.0
     182   -9.048250   245010.0
     183   -4.974156   137660.0
     184  -24.957677   671120.0
     185  -36.933576   994330.0
     186  -11.862399   314600.0
     187  -23.003017   643340.0
     188  -62.102028  1658880.0
     189  -47.467190  1254580.0
     190  -42.220785  1154340.0
     191  -25.812656   685470.0
     192   -7.029778   186090.0
     193  -36.582694   968590.0
     194   -5.742219   151230.0
     195   -4.535719   126160.0
     196  -14.447583   399190.0
     197   -9.344837   248230.0
     198  -48.368345  1298020.0
     199   -5.290372   147280.0
     200  -10.112538   269630.0
     201   -4.890104   135620.0
     202  -25.509149   705150.0
     203   -4.631865   124810.0
     204  -28.643000   743040.0
     205   -8.297955   220070.0
     206  -11.356552   301840.0
     207   -5.146014   142490.0
     208  -52.636263  1428900.0
     209   -9.585080   259430.0
     210  -41.106837  1099640.0
     211  -13.864621   375490.0
     212  -11.020653   294100.0
     213  -33.516948   905660.0
     214   -7.157969   197710.0
     215  -26.454424   733120.0
     216  -23.813427   640810.0
     217 -125.118695  3408110.0
     218   -5.324163   141400.0
     219   -5.061767   136370.0
     220   -6.892160   158950.0
     221   -9.233865   246310.0
     222  -64.982643  1785170.0
     223   -4.868149   135190.0
     224  -45.788003  1241830.0
     225  -11.798459   302440.0
     226  -20.952663   582320.0
     227   -9.788694   266880.0
     228  -26.196375   692340.0
     229  -42.237317  1156050.0
     230   -5.059719   139820.0
     231  -37.385622   964070.0
     232  -42.365319  1126190.0
     233   -5.841281   157590.0
     234   -0.691642    16950.0
     235   -3.521174    93420.0
     236   -0.227660     1600.0
     237   -0.433306     2450.0
     238  -16.297962   455710.0
     239  -51.187897  1364490.0
     240 -110.289882  2887990.0
     241   -2.693128    60600.0
     242   -3.632552    94650.0
     243   -0.262156     7200.0
     244   -0.000135        0.0
     245  -61.614441  1697720.0
     246   -0.009344        0.0
     247  -27.914865   786510.0
     248   -1.332365    37450.0
     249    0.000000        0.0
     250   -0.033267        0.0
     251   -4.996618   140080.0
     252   -0.346844     5620.0
     253  -39.482033  1103800.0
     254  -11.191531   302740.0
     255   -0.029111      830.0
     256  -30.610066   852470.0
     257   -5.418080   146890.0
     258   -2.274278    62030.0
     259   -2.299316    61330.0
     260   -4.696608   130890.0
     261   -0.028972      830.0
     262   -0.297542      640.0
     263    0.000000        0.0
     264   -0.619184    12950.0
     265   -1.718330    43030.0
     266   -0.568361    13230.0
     267   -0.338323     5240.0
     268   -2.330115    62720.0
     269   -0.095368     1930.0
     270   -2.285194    61500.0
     271   -1.138510    31790.0
     272   -2.144924    58650.0
     273  -18.264455   509930.0
     274   -0.423608     2710.0
     275  -22.043976   616480.0
     276   -1.358868    36440.0
     277   -3.500996    94860.0
     278   -0.169118      360.0
     279   -0.101986     2420.0
     280   -4.214215   113900.0
     281   -0.069368        0.0
     282  -29.211330   826290.0
     283   -0.038208      410.0
     284   -0.487333     9900.0
     285   -4.363115   118650.0
     286   -4.645809   129500.0
     287   -0.377205     6300.0
     288   -3.532868    91920.0
     289   -3.338448    90540.0
     290   -0.227417     1780.0
     291   -2.180247    58550.0
     292   -0.002424        0.0
     293  -83.654438  2216730.0
     294   -0.350052     7550.0
     295  -39.834634  1146130.0
     296  -70.360893  1843140.0
     297   -1.582684    44650.0
     298   -9.887844   272070.0
     299   -0.099455     2420.0
     300   -1.074750    30280.0
     301   -1.315361    32230.0
     302   -2.073601    58470.0
     303   -0.085403     2420.0
     304   -0.699990    10260.0
     305   -4.049806   114420.0
     306   -5.236996   145420.0
     307   -6.944274   191950.0
     308   -3.954299   106800.0
     309   -4.655951   128430.0
     310   -0.084997     2420.0
     311  -35.291809   958610.0
     312   -0.034063        0.0
     313  -20.142084   536460.0
     314   -0.197528     2420.0
     315   -1.551646    36840.0
     316   -0.959028    25210.0
     317   -3.029427    82650.0
     318   -0.261497     2420.0
     319   -1.439611    40560.0
     320   -0.108365     2250.0
     321   -0.228465     1170.0
     322   -6.469076   177530.0
     323   -4.151014   116910.0
     324    0.000000        0.0
     325    0.000000        0.0
     326   -4.395000   118020.0
     327  -43.255434  1141150.0
     328   -1.179993    28030.0
     329  -10.455215   264970.0
     330   -6.094920   164960.0
     331   -6.349764   168640.0
     332   -0.055969     1600.0
     333   -3.358469    93660.0
     334   -0.055736        0.0
     335   -4.650337   125480.0
     336  -41.146115  1150910.0
     337   -1.798875    50800.0
     338   -1.687090    47930.0
     339   -0.084997     2420.0
     340   -3.903615   105880.0
     341  -88.240997  2538850.0
     342   -0.108472     2420.0
     343   -0.054656      130.0
     344    0.000000        0.0
     345    0.000000        0.0
     346    0.000000        0.0
     347   -3.015830    79560.0
     348   -8.829264   239710.0
     349  -62.953472  1685880.0
     350   -0.117125     2420.0
     351  -11.246354   292130.0
     352   -0.085052     2420.0
     353   -0.377031     6300.0
     354   -0.097753     2420.0
     355  -21.567888   599640.0
     356   -2.230437    40540.0
     357   -0.000028        0.0
     358   -0.612128    12110.0
     359   -1.672069    47420.0
     360   -2.083760    56440.0
     361  -10.330868   282880.0
     362   -1.686281    47830.0
     363   -1.553274    38760.0
     364   -0.002361        0.0
     365  -28.152155   735400.0
     366   -0.488292     8940.0
     367   -3.843951   107660.0
     368   -0.410795     3060.0
     369   -4.931104   133760.0
     370   -0.120219     3110.0
     371   -0.377198     6300.0
     372  -76.267017  2195680.0
     373    0.000000        0.0
     374  -62.488541  1729310.0
     375   -1.870559    49320.0
     376   -0.885785    22590.0
