 episode  sum_reward  tardiness
       1  -36.654361   982270.0
       2  -27.409156   699270.0
       3  -16.786986   445780.0
       4  -17.524851   473650.0
       5  -31.814302   806240.0
       6  -63.811392  1730110.0
       7  -13.900205   355040.0
       8  -11.539177   313190.0
       9  -26.432923   682500.0
      10   -9.550399   248030.0
      11  -71.921968  1919030.0
      12  -48.191829  1313240.0
      13  -24.648924   628820.0
      14  -33.947976   923490.0
      15  -11.098573   279100.0
      16  -12.473076   333990.0
      17  -17.016181   474470.0
      18  -21.790979   575110.0
      19  -13.891958   354020.0
      20   -8.790743   221360.0
      21   -9.630531   237910.0
      22  -13.877542   346970.0
      23  -59.469967  1614550.0
      24  -10.156708   270030.0
      25  -47.444579  1263290.0
      26  -55.432278  1498170.0
      27  -12.365326   317890.0
      28  -40.188271  1097800.0
      29  -45.343560  1163030.0
      30  -13.681493   368210.0
      31  -43.636736  1173860.0
      32  -16.245948   411210.0
      33  -48.027527  1273360.0
      34  -11.124031   287000.0
      35  -16.153299   426320.0
      36  -47.501222  1281620.0
      37  -63.088321  1666990.0
      38  -10.733767   276730.0
      39  -11.269257   280310.0
      40  -29.175427   749080.0
      41  -13.080000   326730.0
      42  -13.312556   354740.0
      43  -12.255358   323430.0
      44  -12.295792   309480.0
      45  -69.762749  1930160.0
      46  -22.412805   602820.0
      47  -14.195111   368110.0
      48   -9.199330   239570.0
      49  -21.354111   538780.0
      50  -33.894878   894380.0
      51  -22.704188   587790.0
      52   -8.794406   240220.0
      53  -11.651823   312920.0
      54  -46.333806  1259050.0
      55  -10.450837   279390.0
      56  -41.781723  1140510.0
      57  -11.981503   317220.0
      58  -11.975410   314250.0
      59  -13.523090   339380.0
      60  -12.213927   320710.0
      61  -29.397233   764580.0
      62  -23.112004   581910.0
      63  -37.302711   965390.0
      64  -33.997923   887600.0
      65  -22.011795   564580.0
      66  -31.713216   837230.0
      67  -53.021479  1409220.0
      68  -12.719080   322870.0
      69   -8.398955   224530.0
      70  -12.941285   334890.0
      71  -68.769587  1841370.0
      72  -20.289771   535270.0
      73  -56.728923  1528730.0
      74  -18.718455   499390.0
      75  -65.737242  1786780.0
      76  -46.793080  1237600.0
      77   -9.062931   237000.0
      78  -10.838663   287910.0
      79  -11.106451   296410.0
      80  -53.113591  1441530.0
      81  -34.088268   895290.0
      82  -19.339955   500410.0
      83  -57.791421  1540120.0
      84  -20.510347   531430.0
      85  -10.337698   268540.0
      86   -8.486646   226270.0
      87  -33.193163   883010.0
      88  -27.412653   713200.0
      89   -8.134035   219070.0
      90  -67.445239  1802860.0
      91  -24.464292   638370.0
      92  -47.630264  1249310.0
      93  -10.349851   264320.0
      94  -11.369222   284400.0
      95  -22.928051   586980.0
      96  -40.672219  1092150.0
      97  -20.696427   548410.0
      98   -5.642392   147880.0
      99  -15.308129   403740.0
     100  -25.290813   666710.0
     101  -12.447135   323090.0
     102  -14.718386   360840.0
     103  -14.529354   379210.0
     104  -42.052621  1137580.0
     105  -22.263097   609090.0
     106  -18.498545   487450.0
     107  -22.293719   613240.0
     108  -64.378559  1743760.0
     109  -11.985962   321220.0
     110  -20.472541   552420.0
     111  -22.549107   615520.0
     112  -36.492899   938320.0
     113  -15.870312   419920.0
     114  -35.097847   913790.0
     115  -22.210587   607720.0
     116  -15.069441   400350.0
     117  -48.409462  1274420.0
     118  -43.989812  1135340.0
     119  -26.872799   717300.0
     120  -18.244375   497550.0
     121  -58.443792  1564130.0
     122  -15.879792   379690.0
     123  -31.590416   837990.0
     124  -97.153754  2591320.0
     125  -97.084538  2608020.0
     126  -13.531344   337820.0
     127  -32.925549   868890.0
     128  -59.564021  1560110.0
     129  -32.478906   871220.0
     130  -39.469337  1041920.0
     131  -56.510053  1527120.0
     132  -69.397824  1849540.0
     133  -43.949771  1118000.0
     134  -69.290403  1832480.0
     135  -31.076382   793460.0
     136  -52.972767  1412460.0
     137  -55.316677  1469950.0
     138  -28.703174   769120.0
     139  -70.193732  1875080.0
     140  -28.024154   758210.0
     141  -58.465232  1546730.0
     142  -51.158610  1384240.0
     143  -39.680434  1058630.0
     144  -15.704559   363160.0
     145  -56.992305  1535660.0
     146 -109.238315  2956960.0
     147  -27.719173   698970.0
     148  -11.595309   277490.0
     149  -45.188216  1182030.0
     150  -45.537374  1201120.0
     151  -35.054365   920870.0
     152  -58.310284  1547040.0
     153  -10.158670   258260.0
