 episode  sum_reward  tardiness
       1  -14.154130   130855.0
       2  -14.140953   130625.0
       3  -14.177776   130625.0
       4  -14.162878   131105.0
       5  -14.232611   131610.0
       6  -14.159095   130665.0
       7  -14.125240   130985.0
       8  -14.142700   130565.0
       9  -14.238415   131805.0
      10  -14.157399   130700.0
      11  -13.695993   129430.0
      12  -13.602052   126410.0
      13  -11.468720   108000.0
      14  -15.364878   135135.0
      15  -14.352670   132415.0
      16  -15.374472   135450.0
      17  -14.358927   132215.0
      18  -13.591276   126320.0
      19  -13.608903   126385.0
      20  -12.336000   111830.0
      21  -11.785780   107595.0
      22  -14.457448   133115.0
      23  -14.399139   132710.0
      24  -13.708014   129460.0
      25  -11.805677   107615.0
      26  -11.881288   108405.0
      27  -13.700472   129430.0
      28  -11.885481   108305.0
      29  -13.703425   126905.0
      30  -13.653458   129090.0
      31  -15.404163   135390.0
      32  -14.319493   131725.0
      33  -12.006937   109200.0
      34  -13.643774   126535.0
      35  -12.088464   109810.0
      36  -15.415028   135420.0
      37  -11.325903   106610.0
      38  -14.287392   131390.0
      39  -14.278184   131240.0
      40  -11.334540   106730.0
      41  -14.250906   131145.0
      42  -11.418040   107615.0
      43  -12.274408   111365.0
