 episode  sum_reward  tardiness
       1  -16.855486   156505.0
       2  -18.769898   168735.0
       3  -16.083785   146240.0
       4  -15.753160   144470.0
       5  -16.221493   151475.0
       6  -16.196835   150350.0
       7  -15.772542   144840.0
       8  -16.828493   152190.0
       9  -15.911731   146220.0
      10  -15.300476   136670.0
      11  -12.694045   120400.0
      12  -15.795484   146350.0
      13  -16.867866   153750.0
      14  -12.368448   117070.0
      15  -12.792524   118855.0
      16  -13.176741   126305.0
      17  -16.581316   145320.0
      18  -15.916087   145240.0
      19  -14.513238   136630.0
      20  -12.744764   115105.0
      21  -15.855490   139890.0
      22  -14.739766   137625.0
      23  -12.767936   116360.0
      24  -12.779884   116615.0
      25  -16.168090   148900.0
      26  -14.134951   133780.0
      27  -14.657981   135210.0
      28  -15.634273   143945.0
      29  -12.769434   115160.0
      30  -13.651616   124630.0
      31  -14.639401   134285.0
      32  -15.157929   143370.0
      33  -12.873851   116355.0
      34  -14.516931   133255.0
      35  -16.078542   147330.0
      36  -12.429957   115845.0
      37  -21.616925   187900.0
      38  -14.497740   132765.0
      39  -18.199009   157565.0
      40  -16.628023   145590.0
      41  -18.202458   164760.0
      42  -17.146255   156880.0
      43  -19.820533   178330.0
