 episode  sum_reward  tardiness
       1  -18.222920   167345.0
       2  -21.989056   199020.0
       3  -20.690927   190075.0
       4  -25.819214   233935.0
       5  -23.234182   211035.0
       6  -21.347866   200035.0
       7  -22.831828   212760.0
       8  -22.692517   207745.0
       9  -22.456387   209135.0
      10  -21.230335   194265.0
      11  -24.138160   220425.0
      12  -23.756868   226720.0
      13  -27.677500   244085.0
      14  -21.316248   194445.0
      15  -20.019128   188905.0
      16  -23.842462   220535.0
      17  -28.031332   250290.0
      18  -26.345358   249145.0
      19  -26.019488   243490.0
      20  -27.833191   243910.0
      21  -22.170033   206545.0
      22  -19.559863   184725.0
      23  -17.971165   174165.0
      24  -16.420217   163260.0
      25  -19.142814   187010.0
      26  -15.948026   153190.0
      27  -17.674250   165115.0
      28  -20.130306   181005.0
      29  -19.295198   177910.0
      30  -14.468500   133360.0
      31  -18.215365   165325.0
      32  -14.855561   133820.0
      33  -14.011642   127435.0
      34  -18.405734   161445.0
      35  -14.835222   132425.0
      36  -13.752734   128855.0
      37  -17.151865   163255.0
      38  -17.447880   165260.0
      39  -17.442611   167065.0
      40  -19.837007   186460.0
      41  -19.129052   170965.0
      42  -21.754802   192260.0
      43  -17.419189   161115.0
      44  -68.289957  1166100.0
      45  -69.204299  1459695.0
      46  -58.002665  1131570.0
      47  -55.970295  1084220.0
      48   -6.766911    46745.0
      49   -8.060003    54720.0
      50   -7.267585    51245.0
      51   -6.782856    48690.0
      52  -19.249460    88120.0
      53  -17.755554    87625.0
      54  -16.745965    83140.0
      55  -70.301953  1444435.0
      56  -73.411033  1466675.0
      57  -71.174015  1410475.0
      58  -71.997789  1467945.0
      59   -5.264682    54115.0
      60   -6.994710    72010.0
      61   -6.282266    68555.0
      62   -6.281932    67185.0
      63   -9.710684    85010.0
      64   -7.938299    70580.0
      65   -7.408106    73740.0
      66  -10.346444   102000.0
      67   -5.248769    24360.0
      68   -4.510215    21945.0
      69   -4.173648    20745.0
      70   -5.697776    58850.0
      71   -4.631248    51790.0
      72   -4.854293    43775.0
      73   -5.411111    50515.0
      74  -18.068266    69795.0
      75  -16.470144    64500.0
      76  -17.963734    69325.0
      77  -12.896639    49795.0
      78  -12.354663    48190.0
      79  -13.591585    51805.0
      80  -13.458762    50695.0
      81  -44.759714   766765.0
      82  -43.315356   739820.0
      83  -42.343870   716425.0
      84  -53.885863   907935.0
      85  -67.862548  1234550.0
      86  -77.223601  1383840.0
      87  -70.439848  1266935.0
      88  -68.791930  1212120.0
      89   -8.803201    98145.0
      90   -8.792510   100335.0
      91  -13.111420   178610.0
      92   -7.867384    86785.0
      93   -7.862391    61220.0
      94   -7.566604    56530.0
      95   -8.700193    60890.0
      96   -7.248075    55520.0
      97   -8.586497    57650.0
      98   -7.055273    48340.0
