 episode  sum_reward  tardiness
       1   -0.266849    13505.0
       2   -0.732207    34970.0
       3   -1.266859    60775.0
       4   -1.626583    88665.0
       5   -1.993012   105350.0
       6   -1.803969   114720.0
       7   -1.570366   128535.0
       8   -1.780486   137380.0
       9   -1.856990   147900.0
      10   -1.964120   159405.0
      11   -2.176439   169850.0
      12   -2.519160     2605.0
      13   -0.458342    20755.0
      14   -1.031250    49005.0
      15   -1.540819    79195.0
      16   -1.932882   102115.0
      17   -2.232316   123220.0
      18   -1.981609   134975.0
      19   -1.818283   145485.0
      20   -2.025297   158745.0
      21   -2.047892   168050.0
      22   -2.181648   179480.0
      23   -2.270738   188965.0
      24   -2.731583     5895.0
      25   -0.463314    22770.0
      26   -1.005120    52890.0
      27   -1.579712    81245.0
      28   -2.088253   112880.0
      29   -2.355007   129080.0
      30   -2.062370   140235.0
      31   -1.886233   151340.0
      32   -2.071151   164905.0
      33   -2.170354   174160.0
      34   -2.324613   189730.0
      35   -2.594146   204315.0
      36   -2.826927     8440.0
      37   -0.444146    21930.0
      38   -0.976703    55500.0
      39   -1.627464    77955.0
      40   -2.530073   117585.0
      41   -2.905062   160975.0
      42   -2.883257   175385.0
      43   -2.567054   191450.0
      44   -2.733936   206485.0
      45   -2.670182   215965.0
      46   -2.687576   231575.0
      47   -2.893738   241570.0
      48   -2.883222    13685.0
      49   -0.544906    24445.0
      50   -0.932460    48505.0
      51   -1.621764    83845.0
      52   -2.369071   137620.0
      53   -2.617450   142760.0
      54   -2.418292   155695.0
      55   -2.111262   167650.0
      56   -2.313283   183765.0
      57   -2.341556   192380.0
      58   -2.520934   210235.0
      59   -2.752644   219830.0
      60   -2.735991     6545.0
      61   -0.516234    21870.0
      62   -1.056085    56165.0
      63   -1.607944    83165.0
      64   -2.123347   106675.0
      65   -2.303059   130740.0
      66   -2.202396   144205.0
      67   -1.961795   153980.0
      68   -2.093766   170065.0
      69   -2.199611   177395.0
      70   -2.294373   193555.0
      71   -2.567816   207195.0
      72   -2.430674    11565.0
      73   -0.461722    22950.0
      74   -0.949050    45445.0
      75   -1.372722    66035.0
      76   -1.536866    93210.0
      77   -1.625389    97470.0
      78   -1.516530   105235.0
      79   -1.399101   113860.0
      80   -1.472665   122925.0
      81   -1.633597   130180.0
      82   -1.658127   137895.0
      83   -1.687927   145230.0
      84   -1.679488     6870.0
      85   -0.431946    17755.0
      86   -0.685149    36800.0
      87   -1.134417    58695.0
      88   -1.400399    70095.0
      89   -1.286283    79735.0
      90   -1.195005    86410.0
      91   -1.200682    95215.0
      92   -1.290309   104610.0
      93   -1.435448   111750.0
      94   -1.479215   119515.0
      95   -1.530403   127560.0
      96   -1.523774     6870.0
      97   -0.418507    17225.0
      98   -0.682899    36660.0
      99   -1.188476    56260.0
     100   -1.376701    72350.0
     101   -0.297622    15115.0
     102   -0.763705    32640.0
     103   -1.186484    51390.0
     104   -1.199021    62710.0
     105   -1.074747    74550.0
     106   -1.189276    80065.0
     107   -1.081734    89890.0
     108   -1.214747    97815.0
     109   -1.406300   106085.0
     110   -1.415179   111805.0
     111   -1.361085   115735.0
     112   -1.382563     2840.0
     113   -0.412741    15915.0
     114   -0.677328    32155.0
     115   -0.921578    43305.0
     116   -0.964233    55695.0
     117   -1.136217    66910.0
     118   -0.958497    69620.0
     119   -0.836427    75540.0
     120   -1.081663    82075.0
     121   -1.106312    91580.0
     122   -1.330917   101645.0
     123   -1.353391   106395.0
     124   -1.362564     4460.0
     125   -0.410753    19595.0
     126   -0.807062    42050.0
     127   -1.236177    60805.0
     128   -1.481247    80840.0
     129   -1.557955    93670.0
     130   -1.631872   104115.0
     131   -1.407314   109275.0
     132   -1.349253   115125.0
     133   -1.413316   118905.0
     134   -1.470182   126670.0
     135   -1.461885   131240.0
     136   -1.541073    10590.0
     137   -0.411700    23245.0
     138   -0.850326    42310.0
     139   -1.383918    62140.0
     140   -1.440686    83165.0
     141   -1.684701    98395.0
     142   -1.737116   109745.0
     143   -1.465293   118850.0
     144   -1.452571   122380.0
     145   -1.493993   125700.0
     146   -1.609019   137605.0
     147   -1.634056   140590.0
     148   -1.562519     7200.0
     149   -0.527955    24320.0
     150   -1.024474    51790.0
     151   -1.672385    85350.0
     152   -2.171632   118430.0
     153   -2.691080   147385.0
     154   -2.633628   165070.0
     155   -2.281290   173945.0
     156   -2.084597   182595.0
     157   -2.213720   186940.0
     158   -2.264745   196695.0
     159   -2.275521   203505.0
     160   -1.950788    17460.0
     161   -0.653023    24980.0
     162   -1.014418    59225.0
     163   -1.603727    84580.0
     164   -2.057049   108865.0
     165   -2.237870   126775.0
     166   -2.009167   141440.0
     167   -1.839181   148455.0
     168   -1.914818   159355.0
     169   -2.150583   167695.0
     170   -2.190946   184385.0
     171   -2.518616   196110.0
     172   -1.869464    15040.0
     173   -0.744932    26115.0
     174   -0.835936    45840.0
     175   -1.249090    66315.0
     176   -1.270372    80680.0
     177   -1.516670    88320.0
     178   -1.231847    93075.0
     179   -1.218972   103915.0
     180   -1.480988   117825.0
     181   -1.744160   129045.0
     182   -1.906111   143605.0
     183   -2.056712   151805.0
     184   -1.333915     8180.0
     185   -0.611609    21705.0
     186   -0.702545    35325.0
     187   -0.897458    48330.0
     188   -0.995752    58675.0
     189   -1.066580    65625.0
     190   -0.828724    68920.0
     191   -0.919668    76205.0
     192   -1.069411    82855.0
     193   -1.297599    94065.0
     194   -1.374698   102360.0
     195   -1.323403   108900.0
     196   -0.873872     8360.0
     197   -0.591444    30265.0
     198   -1.074417    48265.0
     199   -1.252707    69575.0
     200   -1.631217    87160.0
     201   -1.654010   100665.0
     202   -1.521314   109000.0
     203   -1.391920   114310.0
     204   -1.435127   120065.0
     205   -1.410335   124735.0
     206   -1.591052   129520.0
     207   -1.489991   137925.0
     208   -1.109753    19365.0
     209   -0.635693    21745.0
     210   -0.733184    35885.0
     211   -0.953057    50480.0
     212   -1.032559    60725.0
     213   -1.043368    69615.0
     214   -1.065453    76260.0
     215   -1.088293    84365.0
     216   -1.154021    90495.0
     217   -1.141280    94415.0
     218   -1.246590   102950.0
     219   -1.289837   108585.0
     220   -0.681970     9920.0
     221   -0.647583    25840.0
     222   -0.855743    44995.0
     223   -1.359620    65975.0
     224   -1.417517    76125.0
     225   -1.254554    86480.0
     226   -1.201200    94460.0
     227   -1.342648   101310.0
     228   -1.377547   109950.0
     229   -1.462347   120290.0
     230   -1.484625   124975.0
     231   -1.553622   133965.0
     232   -0.982021     9930.0
     233   -0.608214    30990.0
     234   -1.200208    49740.0
     235   -1.314580    73075.0
     236   -1.650755    87725.0
     237   -1.554875   101890.0
     238   -1.553795   109245.0
     239   -1.336024   115240.0
     240   -1.478590   120955.0
     241   -1.345592   124715.0
     242   -1.592071   129420.0
     243   -1.492325   137390.0
     244   -0.909234    12930.0
     245   -0.642493    27780.0
     246   -0.954667    44185.0
     247   -1.193236    59595.0
     248   -1.185672    75195.0
     249   -1.328628    83470.0
     250   -1.184273    91075.0
     251   -1.335821   101235.0
     252   -1.415163   112005.0
     253   -1.513984   117255.0
     254   -1.565564   126100.0
     255   -1.500649   132485.0
     256   -0.731266    10095.0
     257   -0.480556    23510.0
     258   -0.766950    41720.0
     259   -1.249137    62500.0
     260   -1.588010    78565.0
     261   -1.310724    84375.0
     262   -1.041465    90270.0
     263   -1.182307    94725.0
     264   -1.224316   110690.0
     265   -1.714561   141020.0
     266   -2.183488   151565.0
