 episode  sum_reward  tardiness
       1  -20.324589   183360.0
       2  -16.660540   153680.0
       3  -15.458257   142035.0
       4  -17.850153   161135.0
       5  -16.078309   147880.0
       6  -16.717399   152045.0
       7  -17.102401   155110.0
       8  -16.682722   153945.0
       9  -16.222576   147020.0
      10  -14.903262   134605.0
      11  -17.032470   156645.0
      12  -17.236821   164355.0
      13  -17.490649   153945.0
      14  -16.004686   142320.0
      15  -15.710224   142070.0
      16  -16.800156   153970.0
      17  -18.497415   166850.0
      18  -17.177481   159635.0
      19  -17.289736   159990.0
      20  -19.693071   179355.0
      21  -19.436602   180340.0
      22  -18.714439   175175.0
      23  -20.537615   190355.0
      24  -26.912870   241105.0
      25  -24.005033   217545.0
      26  -26.020248   237845.0
      27  -23.569585   224645.0
      28  -26.490736   249195.0
      29  -27.797168   256885.0
      30  -28.359792   261375.0
      31  -21.102427   210855.0
      32  -25.054196   240985.0
      33  -19.494757   185015.0
      34  -18.232036   177030.0
      35  -22.623905   205185.0
      36  -19.373977   183055.0
      37  -21.475161   207170.0
      38  -19.136497   178175.0
      39  -14.604510   139430.0
      40  -11.321149   107450.0
      41  -16.304469   146935.0
      42  -18.341153   164240.0
      43  -16.214667   150225.0
      44  -57.439680   969100.0
      45  -49.077944   814275.0
      46  -50.740408   924150.0
      47  -64.201947  1182795.0
      48   -6.587995    48910.0
      49   -8.634656    61100.0
      50   -7.462898    60365.0
      51   -6.238040    50425.0
      52   -7.828858    55170.0
      53   -7.673240    53620.0
      54   -6.513175    50800.0
      55   -8.247559    54280.0
      56  -19.377205   221660.0
      57  -25.129627   301825.0
      58  -32.483375   391740.0
      59  -12.250163    48160.0
      60  -11.689450    46180.0
      61  -11.552128    45740.0
      62  -11.831835    46770.0
      63  -41.697818   710555.0
      64  -44.645468   749820.0
      65  -44.629690   746265.0
      66  -28.699150   539020.0
      67   -8.414257   171415.0
      68  -13.237948   276570.0
      69   -6.753281   126060.0
      70   -4.311276    21005.0
      71   -4.368675    22455.0
      72   -4.140293    20585.0
      73   -4.412818    21495.0
      74   -8.465102    78760.0
      75   -8.633411    82310.0
      76   -6.957156    68100.0
      77  -14.950222    63345.0
      78  -15.394556    65725.0
      79  -14.553036    61585.0
      80  -16.477252    68550.0
      81  -10.994920    69495.0
      82  -10.959465    70970.0
      83  -11.963958    74265.0
      84  -10.640786    64495.0
      85  -33.006042   559735.0
      86  -37.841470   637540.0
      87  -35.463880   582910.0
      88  -30.691618   522080.0
      89   -7.786337    63075.0
      90   -6.353253    54505.0
      91   -7.552929    65965.0
      92   -8.320517    66400.0
      93  -22.144479   317085.0
      94  -28.443677   378805.0
