 episode   sum_reward  tardiness
       1  -725.229168   184090.0
       2  -577.573699   152060.0
       3  -553.738109   147575.0
       4  -533.596963   142735.0
       5  -530.359548   141620.0
       6  -565.558420   153840.0
       7  -637.500608   168340.0
       8  -556.288541   150220.0
       9  -526.062326   143515.0
      10  -519.456597   133300.0
      11  -496.041146   134185.0
      12  -509.510764   136135.0
      13  -426.057986   115955.0
      14  -433.866841   119225.0
      15  -409.333419   112200.0
      16  -392.766319   108255.0
      17  -443.369965   118195.0
      18  -441.714757   114615.0
      19  -495.206077   136560.0
      20  -418.795398   110500.0
      21  -554.979948   139325.0
      22  -543.314583   145535.0
      23  -492.529080   135470.0
      24  -413.688021   108045.0
      25  -502.020921   135010.0
      26  -426.372743   111130.0
      27  -497.842274   133180.0
      28  -474.205642   127735.0
      29  -403.948438   112090.0
      30  -469.080989   122745.0
      31  -506.975434   136180.0
      32  -554.793923   138570.0
      33  -490.134374   132400.0
      34  -511.887761   137090.0
      35  -511.872742   137010.0
      36  -483.532638   129790.0
      37  -519.590540   140595.0
      38  -496.096268   136190.0
      39  -524.390885   140105.0
      40  -436.375607   114315.0
      41  -514.976649   137455.0
      42  -509.346093   135400.0
      43  -393.103385   108425.0
      44  -393.061545    94860.0
      45  -312.694010    79230.0
      46  -282.181337    72280.0
      47  -271.344965    72950.0
      48  -344.524305    73575.0
      49  -243.394185    61875.0
      50  -271.980729    61365.0
      51  -209.053559    57055.0
      52  -717.014930    80480.0
      53  -732.558681    80025.0
      54  -696.807118    78075.0
      55  -355.561980    97590.0
      56  -309.280903   101930.0
      57  -389.378385   130590.0
      58  -522.123785   149640.0
      59  -356.764149   111840.0
      60  -310.179600    98635.0
      61  -639.518750   185390.0
      62  -396.390278   140355.0
      63 -1064.745837   570905.0
      64 -1102.590887   616290.0
      65 -1067.219097   608540.0
      66  -794.605296   488045.0
      67 -1137.651126  1028610.0
      68 -1122.203208  1063380.0
      69 -1159.132034  1092790.0
      70 -1184.581425  1162845.0
      71  -190.274131    57180.0
      72  -199.796007    52705.0
      73  -181.143836    57400.0
      74 -1955.560857  1156825.0
      75 -1674.005121  1016240.0
      76 -1721.936547  1073535.0
      77 -1924.492097  1136185.0
      78  -257.744357    67440.0
      79  -196.233681    60765.0
      80  -159.153299    45875.0
      81  -247.081077    99655.0
      82 -1583.771005  1203150.0
      83 -1865.024228  1326170.0
      84 -1677.376216  1194795.0
      85 -1903.783415  1339480.0
      86  -410.497742   147905.0
      87  -619.436981   287025.0
      88 -1443.789931   520490.0
