 episode  sum_reward  tardiness
       1   -1.744585    36305.0
       2   -2.426943    54985.0
       3   -3.112269    77245.0
       4   -1.614085    20410.0
       5   -1.974198    45290.0
       6   -3.898089    91050.0
       7   -2.424028    16750.0
       8   -1.883141    40945.0
       9   -2.392547    58935.0
      10   -2.726561    10805.0
      11   -1.512977    36755.0
      12   -2.622618    57780.0
      13   -2.756630     4220.0
      14   -2.780073    71960.0
      15   -9.707611   261660.0
      16  -21.415102     9320.0
      17   -2.872806    88740.0
      18  -10.388788   264815.0
      19  -17.666908     7835.0
      20   -2.275366    57115.0
      21   -7.292319   185225.0
      22  -13.326892    15995.0
      23   -4.281007    87085.0
      24   -4.403160   118650.0
      25   -6.833450     7590.0
      26   -0.866273    22000.0
      27   -1.567385    34950.0
      28   -2.005924    50405.0
      29   -1.563823    13295.0
      30   -1.542191    28525.0
      31   -1.662498    41445.0
      32   -2.102719    55240.0
      33   -1.416293    15840.0
      34   -1.274002    30865.0
      35   -1.797446    44570.0
      36   -2.324514    58150.0
      37   -1.293615    22220.0
      38   -1.599995    40875.0
      39   -2.382592    56670.0
      40   -2.558533    16450.0
      41   -1.197411    25605.0
      42   -1.246684    32445.0
      43   -1.518507    40255.0
      44   -1.876877    49775.0
      45   -2.055948    56285.0
      46   -2.367354    63525.0
      47   -2.591302    70935.0
      48   -2.886186    79300.0
      49   -1.901078    24640.0
      50   -1.192214    31490.0
      51   -1.341604    36565.0
      52   -1.739922    46330.0
      53   -2.073172    54620.0
      54   -2.320031    62625.0
      55   -2.635052    71965.0
      56   -2.873524    80140.0
      57   -2.744373    22895.0
      58   -1.234563    31670.0
      59   -1.508460    39810.0
      60   -1.743267    47660.0
      61   -2.048568    54510.0
      62   -2.399934    64420.0
      63   -2.477812    69460.0
      64   -2.781670    76460.0
      65   -2.919422    23555.0
      66   -1.658337    30035.0
      67   -1.415135    36980.0
      68   -1.678260    44610.0
      69   -1.990405    52755.0
      70   -2.253861    60450.0
      71   -2.547691    69275.0
      72   -2.809099    77570.0
      73   -3.188993    86820.0
      74   -1.324847    14350.0
      75   -0.893575    21680.0
      76   -1.006403    26490.0
      77   -1.485158    38020.0
      78   -1.771387    46740.0
      79   -1.570120    10555.0
      80   -0.696715    17820.0
      81   -0.979924    24390.0
      82   -1.183189    30600.0
      83   -1.517347    39225.0
      84   -1.794712    47630.0
      85   -0.888743    15505.0
      86   -0.946378    23410.0
      87   -1.208634    30420.0
      88   -1.327030    35465.0
      89   -1.684073    48160.0
      90   -1.855262    14380.0
      91   -0.882325    22130.0
      92   -1.288502    31790.0
      93   -1.481809    39210.0
      94   -2.076219    52015.0
      95   -2.113293    22305.0
      96  -16.250634   719670.0
      97  -68.125508   288790.0
      98  -37.157601  2028635.0
      99  -51.345494   488755.0
     100  -64.147988   110130.0
     101  -24.427323  1019240.0
     102  -49.970097    37720.0
     103   -4.374536   104045.0
     104   -8.137031   178070.0
     105   -7.155300    14835.0
     106   -1.911722    46215.0
     107   -5.151970   109240.0
     108   -6.881158   171660.0
     109   -4.924250    35395.0
     110   -4.497148    87090.0
     111   -4.227734   109305.0
     112   -6.592774     3605.0
     113   -1.506866    37225.0
     114   -4.426116    95310.0
     115   -5.551946   135270.0
     116   -4.428469    17390.0
     117   -0.869115    22740.0
     118   -0.942066    25980.0
     119   -1.157655    31030.0
     120   -1.329012    36015.0
     121   -1.532762    41320.0
     122   -1.667642    46050.0
     123   -1.832122    50465.0
     124   -2.046300    55900.0
     125   -2.208981    61075.0
     126   -2.226856    15155.0
     127   -0.780976    19855.0
     128   -0.990233    25665.0
     129   -1.104991    29645.0
     130   -1.331717    35730.0
     131   -1.502674    40580.0
     132   -1.627724    44600.0
     133   -1.788936    49025.0
     134   -1.895757    52585.0
