 episode  sum_reward  tardiness
       1   -2.736238    62550.0
       2   -5.761122   118905.0
       3   -5.695009   151515.0
       4   -5.334422    31595.0
       5   -5.268477   110000.0
       6   -6.018153   145795.0
       7   -6.954911   186855.0
       8   -4.006642    61045.0
       9   -6.401991   126390.0
      10   -6.124573   164460.0
      11   -5.882097    13485.0
      12   -4.685165   105100.0
      13   -6.891016   151390.0
      14   -7.144721   188435.0
      15   -5.090707    73455.0
      16   -7.917385   158535.0
      17   -7.706566   196905.0
      18   -8.432279     8170.0
      19   -4.655036   112915.0
      20   -7.897370   170235.0
      21   -7.706764   207120.0
      22   -5.552602    42305.0
      23   -6.451309   129940.0
      24   -6.852557   171870.0
      25   -7.999036   212835.0
      26   -3.855988    81490.0
      27   -7.371759   149625.0
      28   -7.197349   188485.0
      29   -6.265274    26020.0
      30   -5.090361   109055.0
      31   -3.002884    68550.0
      32   -4.922825   113635.0
      33   -5.963333   149320.0
      34   -4.603755    28350.0
      35   -5.342569   116675.0
      36   -7.495059   174855.0
      37   -8.739309   218730.0
      38   -4.761170    81495.0
      39   -7.074000   144720.0
      40   -7.295535   191900.0
      41   -6.622472    17575.0
      42   -4.650196   100060.0
      43   -6.552562   144700.0
      44   -6.403828   175985.0
      45   -4.067172    46725.0
      46   -6.385073   129980.0
      47   -7.322354   183890.0
      48   -7.826342    11810.0
      49   -3.178069    65515.0
      50   -4.224361    96205.0
      51   -5.021953   131425.0
      52   -4.273660    51090.0
      53   -6.271406   130875.0
      54   -7.131497   174775.0
      55   -8.079307   208040.0
      56   -3.693722    65525.0
      57   -4.994481   110115.0
      58   -5.687620   146635.0
      59   -5.196502    14755.0
      60   -4.132649    87655.0
      61   -4.591785   111815.0
      62   -6.041554   154620.0
      63   -3.574740    48565.0
      64   -5.451167   101610.0
      65   -5.175205   136710.0
      66   -5.915253    11055.0
      67   -4.051484    92820.0
      68   -5.691644   126590.0
      69   -6.542359   167655.0
      70   -4.140128    34855.0
      71   -6.199087   124790.0
      72   -6.560866   160250.0
      73   -7.174422     4580.0
      74   -3.744217    92295.0
      75   -7.869122   159730.0
      76   -6.697186   181920.0
      77   -5.010078    37660.0
      78   -5.284618   118440.0
      79   -6.819061   157715.0
      80   -7.651913   194800.0
