 episode  sum_reward  tardiness
       1  -14.197717   146825.0
       2  -13.977941   119835.0
       3  -12.858368    83165.0
       4  -12.147241    65155.0
       5  -10.962958    35345.0
       6  -10.709288    18255.0
       7  -17.008561   170780.0
       8   -9.370910    76015.0
       9  -12.831925   108570.0
      10  -14.243306    96260.0
      11  -10.748156   110860.0
      12   -8.961158    69105.0
      13   -9.871128    75885.0
      14  -11.371095    61405.0
      15  -11.645988    54185.0
      16  -14.555161     7815.0
      17  -12.685417   135520.0
      18   -9.974571    79075.0
      19  -11.669453    98570.0
      20  -10.123521    40600.0
      21   -8.493691    25805.0
      22   -7.802038    12180.0
      23   -9.758045   111940.0
      24   -8.769307    79060.0
      25   -7.147559    39240.0
      26   -8.027108    54590.0
      27   -8.875790    35280.0
      28   -9.726891    10145.0
      29   -6.292858    73605.0
      30   -9.037431    92005.0
      31  -11.142474    95585.0
      32  -10.061943    44215.0
      33   -9.926144   102980.0
      34  -21.029981    44140.0
      35  -16.754950   154695.0
      36  -16.385613   159065.0
      37  -12.836252    91120.0
      38  -13.536293   112035.0
      39  -16.562167   117170.0
      40  -23.007365    41635.0
      41  -24.667797   240850.0
      42  -18.552639   182545.0
      43  -21.256743   196785.0
      44  -21.701943   170565.0
      45  -22.657070   131590.0
      46  -21.943054    46095.0
      47  -20.834569     3720.0
      48  -19.789273   203890.0
      49  -19.276943   177430.0
      50  -22.797918   189740.0
      51   -4.745740    46975.0
      52   -7.117715    73750.0
      53   -5.582731    35980.0
      54   -6.720465    68585.0
      55   -6.267595    23440.0
      56   -4.434146    47845.0
      57   -6.284255    11610.0
      58   -4.260651    45175.0
      59   -6.889012    70655.0
      60   -6.035832    68065.0
      61   -5.591339    48305.0
      62   -6.075976    45465.0
      63   -7.243611    54595.0
      64   -7.080429    23705.0
      65   -7.055832    76195.0
      66   -5.434661    40315.0
      67   -8.042101    14400.0
      68   -3.773186    44435.0
      69   -5.548302    14710.0
      70   -6.970967     3555.0
      71   -6.633910    67395.0
      72   -5.451974    41860.0
      73   -4.420576    24500.0
      74   -6.803642    53890.0
      75   -8.152934    81720.0
      76   -7.243406    63205.0
      77   -6.831780    47895.0
      78   -5.909247    31200.0
      79   -5.399521    54995.0
      80   -4.197141    70970.0
      81   -5.674705    42040.0
      82   -4.686146    17155.0
      83   -4.994413    26970.0
      84   -8.770285     6525.0
      85  -82.861599   241110.0
      86 -102.073630   718240.0
      87  -56.481117    11190.0
      88   -1.667543    16790.0
      89   -2.250328     9295.0
      90   -1.536312    15315.0
      91   -2.178964    22025.0
      92   -1.905155    10765.0
      93   -1.598312    16100.0
      94   -2.307151     6645.0
      95   -1.241955    12805.0
      96   -1.946241    19960.0
      97   -2.362427    17895.0
      98   -4.090054    17825.0
      99   -4.539583    50555.0
     100   -5.001330    45155.0
     101   -5.354122    38470.0
     102   -2.972339    30565.0
     103   -5.427339    56595.0
     104   -5.083733    23770.0
     105   -4.729222    49700.0
     106   -6.924712     8860.0
     107   -3.216359    33995.0
     108   -5.549809    58085.0
     109   -5.068556    24260.0
     110   -4.707090    50065.0
     111   -6.845290     8180.0
     112   -2.888385    31295.0
     113   -4.477075    14485.0
     114   -3.793576    41590.0
     115   -4.157168    18105.0
     116   -4.181205    44740.0
     117   -4.403019    28665.0
     118   -5.007884    52965.0
     119   -2.476490    13990.0
     120   -2.033622    20545.0
     121   -2.362998     7695.0
     122   -1.266214    13495.0
     123   -1.902160    19265.0
     124   -1.708540    10950.0
     125   -1.666273    16610.0
     126   -2.308679     5875.0
     127   -1.239236    12970.0
     128   -1.867349    18700.0
     129   -3.365189    54220.0
     130  -12.467410    33875.0
     131  -14.692679    30755.0
     132   -9.227576    10415.0
     133   -9.661488   118335.0
     134   -5.048057    45355.0
     135   -5.273200    35260.0
