 episode   sum_reward  tardiness
       1 -1023.455209   163310.0
       2 -1059.359028   145220.0
       3 -1035.155032   111230.0
       4 -1027.306600    84400.0
       5 -1056.728645    39785.0
       6 -1018.479863    17440.0
       7  -970.408680   149155.0
       8  -970.587322   136180.0
       9  -994.451562   106785.0
      10  -978.039932    85840.0
      11  -955.351563   153315.0
      12  -880.674650   112990.0
      13  -887.443232    97175.0
      14  -915.825867    70595.0
      15  -906.152953    38630.0
      16 -1041.506247    16440.0
      17  -875.977433   137545.0
      18  -779.150868   102795.0
      19  -783.173612    98770.0
      20  -897.807292    76345.0
      21  -904.547915    43585.0
      22 -1049.251389    12775.0
      23  -784.781943   116920.0
      24  -791.008683   119255.0
      25  -748.252603    75070.0
      26  -735.319618    90540.0
      27  -956.018575    53045.0
      28  -993.833505    14195.0
      29  -832.706597   125455.0
      30  -775.866319   118620.0
      31  -726.351738    76375.0
      32  -710.592707    76080.0
      33  -809.350349    50505.0
      34  -805.693921    25970.0
      35 -1039.904860   139245.0
      36  -780.377779   122905.0
      37  -798.621702   100300.0
      38  -800.369270    75855.0
      39  -774.953123    61225.0
      40  -956.944620    28110.0
      41  -784.010761   115560.0
      42  -824.101041   131050.0
      43  -792.817186    97255.0
      44  -752.381425    75570.0
      45  -776.705904    68575.0
      46  -957.464585    53565.0
      47 -1320.041315     4365.0
      48  -958.938543   148670.0
      49  -913.161457   124105.0
      50  -943.728300   112180.0
