 episode  sum_reward  tardiness
       1  -20.759664   563870.0
       2  -14.672069   413830.0
       3  -46.467947  1254670.0
       4  -25.009539   696540.0
       5  -56.386816  1491820.0
       6  -49.116726  1378230.0
       7  -87.934669  2397470.0
       8   -8.975577   235510.0
       9  -52.674939  1403650.0
      10  -54.517104  1493850.0
      11  -54.899931  1478130.0
      12  -84.623717  2308560.0
      13  -80.876730  2202080.0
      14  -42.901744  1150670.0
      15  -12.379354   305270.0
      16  -30.398316   804680.0
      17  -10.676104   280830.0
      18  -19.314368   499440.0
      19   -8.157476   220440.0
      20 -100.113819  2680520.0
      21  -32.906080   895190.0
      22   -5.780979   159400.0
      23  -17.314139   468280.0
      24  -19.414479   529150.0
      25  -34.301427   921210.0
      26  -41.207246  1111560.0
      27  -24.532542   646040.0
      28   -9.989097   270420.0
      29  -44.185805  1212770.0
      30   -8.469802   226580.0
      31  -59.458900  1574680.0
      32  -27.947906   759620.0
      33  -32.656434   882120.0
      34  -89.013804  2418890.0
      35  -47.785472  1293960.0
      36 -101.532109  2766480.0
      37  -25.081781   664360.0
      38  -56.114153  1525360.0
      39  -36.561760   992670.0
      40   -8.815931   244630.0
      41  -25.757827   704640.0
      42  -51.112871  1397380.0
      43  -65.214158  1795430.0
      44  -39.694128  1061160.0
      45  -65.797075  1806540.0
      46  -13.364639   348430.0
      47  -38.140969  1044060.0
      48  -41.888378  1097750.0
      49   -9.273948   256140.0
      50   -4.584535   123570.0
      51 -105.066740  2836310.0
      52  -29.129406   792230.0
      53  -32.620121   853590.0
      54   -6.925629   189750.0
      55 -105.193504  2829340.0
      56  -22.493833   581240.0
      57  -12.717844   343640.0
      58  -50.104559  1373730.0
      59  -57.088042  1583780.0
      60  -10.898375   272270.0
      61  -19.091264   527260.0
      62  -71.318687  1936790.0
      63  -76.067788  2062270.0
      64  -32.547455   840000.0
      65  -34.520126   919100.0
      66  -39.811729  1069500.0
      67  -37.052392   999460.0
      68  -84.800141  2290490.0
      69   -9.841698   264600.0
      70  -15.386899   412990.0
      71   -9.099604   246970.0
      72  -14.340583   365140.0
      73  -13.792913   361290.0
      74  -11.799358   311680.0
      75  -21.731576   599190.0
      76  -17.390073   474160.0
      77   -8.393205   223970.0
      78  -72.210826  1970980.0
      79  -43.325545  1154960.0
      80   -7.128115   193540.0
      81  -26.220122   691150.0
      82  -12.074927   313050.0
      83  -53.234656  1476430.0
      84   -8.616073   232450.0
      85  -54.446844  1468030.0
      86  -43.610164  1164080.0
      87  -23.965698   615300.0
      88   -6.186149   157640.0
      89  -48.353836  1303820.0
      90   -8.483830   227090.0
      91   -9.094667   237640.0
      92   -9.200455   246860.0
      93  -15.256538   396880.0
      94  -27.242240   697660.0
      95  -37.031160   957110.0
      96   -8.788628   219870.0
      97  -13.139431   359120.0
      98   -8.080913   215500.0
      99 -118.131671  3217550.0
     100  -40.179875  1041340.0
     101  -24.159062   658800.0
     102  -34.488281   895990.0
     103  -11.591121   284210.0
     104  -29.666771   811260.0
     105  -27.704426   709550.0
     106   -9.731056   262740.0
     107  -27.352393   756810.0
     108  -13.174729   327340.0
     109   -7.389587   204210.0
     110  -75.962175  2046150.0
     111  -14.869736   399050.0
     112  -33.691031   907870.0
     113  -67.009070  1799030.0
     114  -31.440924   861970.0
     115  -26.750285   735090.0
     116  -40.024100  1050160.0
     117  -14.907764   411320.0
     118   -9.659944   262170.0
     119  -55.350871  1454060.0
     120  -31.482524   842920.0
     121   -6.152611   168020.0
     122   -7.052674   196550.0
     123  -25.139931   667810.0
     124   -9.440038   250920.0
     125  -26.318579   689680.0
     126   -8.850531   240080.0
     127  -89.959828  2443980.0
     128  -97.758762  2652250.0
     129  -24.239240   659870.0
     130  -28.195517   747910.0
     131  -57.101018  1538540.0
     132   -9.150674   252450.0
     133   -5.807899   133510.0
     134  -29.845135   804200.0
     135  -40.968322  1120760.0
     136  -12.746788   334760.0
     137  -38.964941  1052740.0
     138  -87.340444  2338780.0
     139  -32.325469   842880.0
     140  -35.118601   933510.0
     141  -16.900597   460950.0
     142   -4.952451   137770.0
     143  -18.687934   496090.0
     144  -27.390354   756830.0
     145  -46.414410  1261740.0
     146  -76.569736  2077490.0
     147   -9.919097   262190.0
     148   -4.772847   132940.0
     149  -12.885893   339210.0
     150  -25.381479   683000.0
     151  -37.687865  1035720.0
     152  -10.225191   278720.0
     153  -93.258286  2541100.0
     154  -31.046288   817670.0
     155  -36.180681   994130.0
     156   -8.654347   229090.0
     157 -120.371542  3278410.0
     158  -10.004719   264300.0
     159  -52.901226  1462150.0
     160  -39.622320  1088780.0
     161  -65.543024  1751740.0
     162  -11.621851   308600.0
     163  -26.214014   691260.0
     164   -8.982733   237640.0
     165   -8.806153   236110.0
     166   -5.173583   139950.0
     167  -10.045146   258470.0
     168  -81.677938  2232400.0
     169   -4.811872   134110.0
     170   -8.757267   238550.0
     171  -25.579841   720080.0
     172   -8.235392   222320.0
     173  -19.608024   535670.0
     174  -32.215055   833320.0
     175  -15.563208   422680.0
     176  -24.766903   662530.0
     177   -5.324517   143870.0
     178  -65.357177  1761390.0
     179  -11.358306   312030.0
     180  -24.371886   664670.0
     181   -4.919590   132940.0
     182   -9.356108   253730.0
     183  -27.881226   730520.0
     184  -17.049417   454550.0
     185  -10.571819   275880.0
     186  -65.167846  1793850.0
     187  -71.840515  1969450.0
     188  -19.965108   522700.0
     189 -105.729083  2855550.0
     190  -50.436426  1348930.0
     191  -32.344500   904550.0
     192   -5.905958   164460.0
     193  -46.521624  1249510.0
     194  -43.349788  1163490.0
     195  -39.639307  1088660.0
     196  -10.031559   260860.0
     197  -69.838052  1900100.0
     198  -94.725388  2557740.0
     199  -47.636170  1317520.0
     200  -23.486121   637150.0
     201  -90.813586  2428290.0
     202  -31.926615   882910.0
     203  -37.899591  1042330.0
     204  -52.366124  1391650.0
     205   -8.854382   238490.0
     206   -6.989913   173710.0
     207  -14.752583   405060.0
     208  -41.732886  1167250.0
     209  -24.897733   658670.0
     210  -73.683084  1992970.0
     211  -95.358527  2598190.0
     212  -28.000764   715430.0
     213  -42.990240  1180870.0
     214 -118.653094  3232270.0
     215  -80.450459  2224840.0
     216 -104.853637  2835550.0
     217  -26.226282   688220.0
     218  -53.117042  1473390.0
     219  -10.764622   294480.0
     220  -10.809243   283860.0
     221  -10.339615   267570.0
     222  -47.529037  1277870.0
     223   -9.365274   249760.0
     224  -25.595719   674400.0
     225  -33.869243   896250.0
     226  -24.646344   666360.0
     227  -28.191288   748960.0
     228  -29.082149   771370.0
     229  -13.850462   355380.0
     230  -30.200653   793240.0
     231   -6.015229   167430.0
     232   -4.880583   136220.0
     233  -93.535726  2568140.0
     234  -52.150978  1422150.0
     235   -1.889576    53170.0
     236   -1.942306    51110.0
     237  -36.544472   983590.0
     238   -1.574906    39390.0
     239   -0.768264     7400.0
     240  -39.852181  1099560.0
     241   -2.854122    76840.0
     242  -27.895930   737820.0
     243  -18.713923   522020.0
     244   -4.464035   113920.0
     245   -0.830656    21210.0
     246   -0.049125        0.0
     247   -9.805066   276300.0
     248  -51.604180  1426900.0
     249   -8.008809   223210.0
     250   -1.121368    30800.0
     251 -105.557179  2953190.0
     252  -27.560162   731490.0
     253   -0.084997     2420.0
     254  -16.119261   433850.0
     255   -1.412469    38880.0
     256   -2.150590    60990.0
     257   -1.686924    47850.0
     258   -0.153931     3400.0
     259   -0.214201     1600.0
     260   -6.595993   180510.0
     261   -0.014292      410.0
     262   -2.157306    58050.0
     263   -0.092604     2420.0
     264   -1.389118    34360.0
     265   -0.248899     1140.0
     266   -0.357361     5750.0
     267   -2.397021    65420.0
     268   -1.350378    36440.0
     269   -0.615153     6610.0
     270   -1.871708    47480.0
     271   -1.031722    25460.0
     272   -7.953323   211890.0
     273  -15.289017   397990.0
     274   -5.725691   153880.0
     275   -0.240774     2420.0
     276  -24.120861   648730.0
     277  -37.653049   972110.0
     278   -1.763219    46220.0
     279   -4.229156   114380.0
     280   -3.513136    92070.0
     281    0.000000        0.0
     282    0.000000        0.0
     283   -1.693250    48030.0
     284  -32.003191   890290.0
     285  -14.214070   390600.0
     286   -0.056510     1600.0
     287   -0.029250      830.0
     288    0.000000        0.0
     289   -0.197170     2420.0
     290  -78.284976  2087340.0
     291   -2.128788    54700.0
     292    0.000000        0.0
     293   -0.206931     1600.0
     294   -0.222059     1990.0
     295   -0.378361     6300.0
     296   -2.054271    57210.0
     297   -7.584830   206360.0
     298   -0.587340    11980.0
     299    0.000000        0.0
     300 -108.193595  3023670.0
     301  -19.865927   553050.0
     302   -0.187361     3330.0
     303    0.000000        0.0
     304   -0.029111      830.0
     305   -0.086368     2420.0
     306  -35.034726   948640.0
     307  -74.398878  2130590.0
     308   -0.439281    11970.0
     309   -4.268681   113500.0
     310   -2.091323    56700.0
     311   -4.358646   118650.0
     312  -21.918785   610310.0
     313   -3.498674    98090.0
     314   -3.054833    81630.0
     315   -0.361094     9660.0
     316  -10.174694   282580.0
     317   -8.800191   250500.0
     318   -2.398747    41440.0
     319    0.000000        0.0
     320   -0.471684     4400.0
     321   -1.770125    43910.0
     322   -0.029528      830.0
     323   -3.869865   101710.0
     324  -39.154266  1094600.0
     325   -0.276417     3430.0
     326   -5.315427   147650.0
     327    0.000000        0.0
     328  -40.305198  1107800.0
     329   -5.083337   141860.0
     330   -1.401382    33040.0
     331   -5.048191   136550.0
     332   -1.978163    56170.0
     333  -30.554024   841630.0
     334   -1.941486    54920.0
     335   -0.086497     2420.0
     336   -5.882399   163470.0
     337   -1.081816    30470.0
     338   -2.208812    59970.0
     339  -20.058892   562140.0
     340   -4.459896   123100.0
     341   -2.131941    57790.0
     342   -0.579257    15160.0
     343   -0.086167     1600.0
     344  -25.612084   713520.0
     345  -10.319813   272890.0
     346   -0.079250     1600.0
     347  -90.845570  2558360.0
     348   -1.599413    40090.0
     349   -1.653198    41290.0
     350   -0.862097    22680.0
     351   -5.325851   144600.0
     352   -3.716368   102340.0
     353    0.000000        0.0
     354   -0.084997     2420.0
     355   -2.669097    74610.0
     356   -3.287608    82840.0
     357   -0.029111      830.0
     358  -31.030201   860070.0
     359   -0.030799      830.0
     360    0.000000        0.0
     361   -4.358688   118650.0
     362   -0.778948    21020.0
     363   -0.995052    22860.0
     364  -26.445760   728440.0
     365   -1.719722    48880.0
     366   -1.726604    49050.0
     367  -27.679652   733650.0
     368   -0.057038        0.0
     369   -2.904785    75310.0
     370   -0.029000      830.0
     371   -4.206069   114280.0
     372 -115.980308  3154690.0
     373   -0.119712     1560.0
     374   -1.443760    38160.0
     375   -5.535243   149290.0
     376   -0.226799     5860.0
     377   -0.049250      830.0
     378   -0.300153     3960.0
     379   -0.040573      240.0
     380   -4.119719   111200.0
     381   -0.084997     2420.0
     382   -0.000076        0.0
     383   -1.764330    50000.0
     384   -0.049750        0.0
