 episode  sum_reward  tardiness
       1  -29.683910   776220.0
       2  -25.274427   684790.0
       3 -115.902937  3084340.0
       4  -82.362409  2246810.0
       5  -41.638170  1106630.0
       6  -30.064989   828590.0
       7  -33.230931   819550.0
       8  -32.811708   851340.0
       9  -15.709573   420410.0
      10  -13.983681   348490.0
      11  -50.853249  1370940.0
      12 -119.702139  3224590.0
      13  -52.424305  1390940.0
      14  -66.230979  1791120.0
      15  -42.492632  1155830.0
      16  -67.101520  1801610.0
      17  -88.731524  2398800.0
      18  -97.436058  2608270.0
      19  -64.462830  1724130.0
      20  -60.811206  1648930.0
      21  -43.283993  1161430.0
      22  -59.881520  1620210.0
      23  -55.137924  1487250.0
      24  -62.957663  1694440.0
      25  -60.082180  1634240.0
      26  -60.732173  1647530.0
      27  -64.450104  1760050.0
      28  -51.153823  1364320.0
      29  -54.969701  1467350.0
      30  -27.125216   722950.0
      31  -81.152038  2185430.0
      32  -78.418000  2055800.0
      33  -31.328667   853570.0
      34  -32.437469   878230.0
      35  -46.876803  1247770.0
      36 -123.773025  3316540.0
      37  -40.343208  1090890.0
      38  -75.534867  2017900.0
      39  -43.628017  1159790.0
      40  -74.835534  1994280.0
      41  -33.681507   894060.0
      42 -118.529125  3169860.0
      43  -54.224690  1434700.0
      44  -55.580420  1536000.0
      45  -81.714823  2214690.0
      46  -56.664111  1526790.0
      47  -44.815337  1207650.0
      48  -30.005691   792860.0
      49  -58.629750  1598180.0
      50  -68.939271  1819910.0
      51  -55.675537  1490420.0
      52  -66.920625  1816160.0
      53  -43.667552  1187730.0
      54  -33.302049   881310.0
      55  -65.075885  1761460.0
      56  -83.789091  2265650.0
      57  -91.519294  2461450.0
      58  -63.117632  1722930.0
      59  -78.628820  2118240.0
      60  -73.737580  2006400.0
      61  -79.865592  2105850.0
      62  -53.005302  1380300.0
      63  -20.867948   560300.0
      64  -93.209946  2570210.0
      65  -19.718750   535080.0
      66 -141.432911  3841050.0
      67  -55.295292  1532170.0
      68  -18.442208   471420.0
      69  -17.715538   490920.0
      70  -59.753125  1632370.0
      71  -24.412535   668370.0
      72  -30.868906   816740.0
      73  -18.198830   475400.0
      74  -17.099899   463780.0
      75  -35.396340   960630.0
      76  -25.811191   701530.0
      77  -11.878417   317910.0
      78  -13.775955   368030.0
      79  -28.141993   729600.0
      80  -11.674365   311780.0
      81  -13.665660   364480.0
      82  -13.934892   363100.0
      83  -25.666945   699570.0
      84  -10.494378   278230.0
      85  -16.786392   447110.0
      86   -8.833802   238440.0
      87   -9.117094   245770.0
      88  -19.176562   502540.0
      89  -27.993337   750800.0
      90  -13.695986   363640.0
      91  -32.686677   866580.0
      92  -31.403097   830600.0
      93  -19.885479   526950.0
      94  -14.019924   376110.0
      95  -10.289313   278710.0
      96  -23.016854   629800.0
      97  -42.195233  1146480.0
      98  -32.725652   865610.0
      99  -14.766090   393730.0
     100  -15.894524   423590.0
     101   -8.596962   227060.0
     102   -6.653396   180890.0
     103  -11.557583   312020.0
     104  -34.736760   880280.0
     105  -14.771690   378720.0
     106  -18.275354   497260.0
     107  -15.400736   418380.0
     108  -23.558778   604720.0
     109  -39.201862  1036520.0
     110  -18.840983   486180.0
     111  -38.944475  1061010.0
     112  -21.502198   584070.0
     113  -13.075618   356480.0
     114  -14.397299   384390.0
     115  -11.832490   318720.0
     116  -14.673819   389140.0
     117  -10.464938   275610.0
     118  -15.799715   415070.0
     119  -11.640399   310600.0
     120  -32.020251   847450.0
     121  -15.335313   409460.0
     122  -45.290327  1241710.0
     123  -31.477660   835100.0
     124   -9.577094   261040.0
     125  -33.679291   916080.0
     126  -34.001663   903170.0
     127  -19.484524   518690.0
     128  -64.103211  1737570.0
     129  -69.314570  1877470.0
     130 -148.750264  4081130.0
     131 -122.002073  3323210.0
     132  -81.068653  2193580.0
     133 -128.399252  3492690.0
     134  -96.422297  2614380.0
     135  -92.143247  2507690.0
     136  -72.563477  1975460.0
     137  -44.402388  1184420.0
     138  -87.252245  2349510.0
     139  -40.041910  1065220.0
     140  -84.459061  2286180.0
     141  -64.203083  1715420.0
     142  -73.176857  1985270.0
     143 -132.072484  3576380.0
     144  -37.053872   985430.0
     145  -92.833101  2507610.0
     146 -109.180845  3005160.0
     147 -100.896061  2724470.0
     148  -58.004378  1555100.0
     149  -82.946388  2221020.0
     150  -90.058324  2419730.0
     151 -121.791143  3317340.0
     152  -48.241188  1311760.0
     153  -91.675014  2493120.0
     154  -74.819931  2018210.0
     155  -49.436910  1347190.0
     156   -3.285434    77560.0
     157  -30.748104   851210.0
     158   -1.719236    44020.0
     159  -16.355733   457340.0
     160  -31.459271   851550.0
