 episode  sum_reward  tardiness
       1  -53.165257  1408310.0
       2  -10.912212   288180.0
       3  -16.060129   410360.0
       4  -11.561469   310210.0
       5  -32.475844   873510.0
       6  -62.129031  1677530.0
       7  -39.942482  1017310.0
       8  -13.245997   353160.0
       9   -5.409080   149010.0
      10  -34.502900   934350.0
      11   -9.884910   260990.0
      12  -38.589472  1007670.0
      13  -14.903337   401690.0
      14  -42.629681  1127950.0
      15  -15.309069   391990.0
      16   -8.426944   223390.0
      17  -18.658986   506500.0
      18   -9.501774   252430.0
      19  -10.967438   287730.0
      20   -9.043024   240840.0
      21  -10.355757   271480.0
      22   -9.348819   252120.0
      23  -12.375424   335240.0
      24  -30.210659   813890.0
      25  -21.669396   601850.0
      26  -31.098548   805240.0
      27  -90.394213  2421610.0
      28  -35.626604   968740.0
      29   -6.437733   175390.0
      30  -47.652479  1280740.0
      31   -8.910507   241070.0
      32  -56.472973  1533910.0
      33  -42.218539  1104730.0
      34  -11.504941   301330.0
      35  -10.017375   265670.0
      36  -44.411896  1221140.0
      37  -10.821729   284320.0
      38  -59.452635  1548690.0
      39  -58.630096  1576780.0
      40  -11.027372   294150.0
      41   -9.557615   251630.0
      42  -12.104323   326930.0
      43  -59.882499  1603630.0
      44  -14.999986   378020.0
      45  -10.624368   265090.0
      46  -25.279205   694300.0
      47  -35.414406   945490.0
      48  -12.955156   307810.0
      49   -9.896066   252140.0
      50  -10.836538   279040.0
      51  -11.922292   320830.0
      52  -51.745368  1393190.0
      53  -74.188099  2044630.0
      54  -35.705795   964480.0
      55  -10.178118   271070.0
      56  -54.529271  1433850.0
      57 -102.932240  2802910.0
      58 -104.697926  2813580.0
      59  -17.469670   465280.0
      60  -59.405221  1608980.0
      61  -12.845743   323400.0
      62  -53.186441  1438480.0
      63  -12.181896   308560.0
      64  -25.464108   684170.0
      65  -59.181716  1569020.0
      66  -52.300003  1416540.0
      67  -67.979138  1808540.0
      68  -21.173177   556570.0
      69  -16.415239   419030.0
      70  -92.385807  2529360.0
      71  -90.811089  2475530.0
      72   -8.070556   216850.0
      73   -9.442486   248280.0
      74  -13.473465   330500.0
      75   -5.452802   152290.0
      76   -9.657632   262850.0
      77  -16.781948   431410.0
      78  -54.218299  1441790.0
      79  -31.631534   833960.0
      80  -35.384750   916850.0
      81  -14.822531   394200.0
      82  -18.418896   499220.0
      83  -11.425121   304500.0
      84   -9.907146   255930.0
      85  -40.072062  1090720.0
      86  -89.102243  2448780.0
      87  -18.842986   484050.0
      88  -21.086441   561150.0
      89  -10.197497   268750.0
      90 -212.574309  5734260.0
      91 -150.620278  4066310.0
      92   -4.929285   137460.0
      93  -97.099368  2631070.0
      94   -8.394781   235640.0
      95  -16.104038   438440.0
      96  -25.924472   718730.0
      97  -14.426979   385660.0
      98  -48.451840  1310000.0
      99   -5.449583   151700.0
     100   -9.070389   242900.0
     101  -50.502822  1379880.0
     102  -38.745673  1038150.0
     103  -46.586750  1270020.0
     104  -13.390326   348600.0
     105  -17.018730   455250.0
     106  -15.100635   411990.0
     107  -32.276177   850940.0
     108  -13.479444   369140.0
     109  -21.364302   585420.0
     110  -29.795206   788790.0
     111   -8.088066   219440.0
     112 -107.622633  2905180.0
     113  -39.409038  1041420.0
     114  -36.987417   965910.0
     115   -9.832375   265150.0
     116  -16.473423   450050.0
     117   -8.492518   228670.0
     118  -11.047028   297930.0
     119   -9.822594   270840.0
     120   -8.495010   230240.0
     121  -29.365802   776820.0
     122  -79.812192  2154490.0
     123  -33.295212   917490.0
     124   -6.390507   175790.0
     125   -4.430788   118650.0
     126  -38.302625  1046620.0
     127   -6.548733   182400.0
     128  -74.852643  2057590.0
     129  -55.478555  1520390.0
     130  -88.457259  2401180.0
     131   -9.809899   265060.0
     132  -18.126257   478060.0
     133  -28.515837   786600.0
     134  -30.470972   808910.0
     135 -114.054723  3096010.0
     136   -8.506695   225920.0
     137  -70.368924  1896770.0
     138  -90.792977  2465020.0
     139  -48.880398  1319170.0
     140 -207.279907  5592510.0
     141  -37.509913  1019780.0
     142  -32.071185   837090.0
     143  -22.976931   629280.0
     144 -101.532834  2727900.0
     145  -81.725713  2176510.0
     146  -59.712224  1615650.0
     147  -71.772659  1955230.0
     148  -36.377028   945690.0
     149  -52.317425  1414090.0
     150  -84.417215  2265830.0
     151  -10.639583   276130.0
     152  -42.287337  1134310.0
     153  -64.050135  1726830.0
     154 -107.240083  2865190.0
     155  -85.918083  2355420.0
     156  -65.872032  1764570.0
     157  -98.897053  2658450.0
     158  -84.148749  2276000.0
     159 -106.428652  2896720.0
     160  -73.890488  1978330.0
     161  -32.105039   826360.0
     162  -88.864487  2407440.0
     163  -54.860963  1463820.0
     164  -82.610957  2208410.0
     165  -28.576195   774820.0
     166  -96.046577  2548690.0
     167   -9.897965   261130.0
     168  -87.280056  2394140.0
     169  -80.838683  2201200.0
     170  -29.521052   747890.0
     171  -53.625511  1422750.0
     172  -43.263670  1161170.0
     173  -53.954598  1424320.0
     174  -68.718227  1800960.0
     175  -40.582857  1090270.0
     176  -85.492226  2293260.0
     177  -70.128566  1900740.0
     178 -118.031237  3238530.0
     179  -71.082288  1893220.0
     180  -41.809112  1129580.0
     181  -86.835066  2364250.0
     182  -96.983911  2640270.0
     183 -106.492623  2826320.0
     184  -76.600983  2081490.0
     185 -111.684188  3011950.0
     186  -84.268030  2262280.0
     187  -36.541900   960040.0
     188 -112.073006  3025620.0
     189  -70.301694  1886160.0
     190 -143.165784  3883560.0
     191  -29.231764   764530.0
     192  -27.137924   714450.0
     193  -30.516083   794030.0
     194  -56.788563  1522530.0
     195  -56.964998  1531720.0
     196 -105.113723  2863430.0
     197  -36.490094  1001230.0
     198  -90.152334  2456530.0
     199  -27.807958   711120.0
     200  -34.865243   934430.0
     201  -52.948134  1490700.0
     202  -67.374882  1863230.0
     203   -5.162083   139600.0
     204   -8.723226   235610.0
     205  -40.483081  1115350.0
     206  -26.240132   710160.0
     207  -16.525865   449740.0
     208  -46.286632  1284080.0
     209  -12.235642   329230.0
     210  -34.137333   899670.0
     211  -50.909628  1412170.0
     212  -62.565205  1724330.0
     213  -23.620157   638210.0
     214   -9.139469   237920.0
     215  -58.630538  1606230.0
     216  -11.205458   293890.0
     217  -51.395390  1336150.0
     218  -23.901225   641270.0
     219  -19.140736   502170.0
     220  -13.996760   387220.0
     221  -15.055288   414780.0
     222  -54.734930  1464050.0
     223  -31.874653   847800.0
     224   -5.212851   145330.0
     225  -55.947746  1515690.0
     226   -5.889583   164680.0
     227  -21.099358   578390.0
     228  -10.015330   274230.0
     229  -14.273323   390720.0
     230  -11.029545   283150.0
     231  -32.235528   900710.0
     232  -58.628393  1577110.0
     233  -33.010205   911710.0
     234 -130.147978  3499360.0
     235   -7.988014   224860.0
     236  -16.963080   468640.0
     237   -0.274024     2450.0
     238   -0.041785      830.0
     239  -48.168892  1325400.0
     240   -5.192125   146180.0
     241  -39.298066  1067520.0
     242   -0.459285    10270.0
     243   -0.069396        0.0
     244    0.000000        0.0
     245   -0.075903        0.0
     246   -1.883979    52120.0
     247   -0.422608     9120.0
     248   -0.056931     1600.0
     249  -10.976445   291690.0
     250  -65.265072  1792020.0
     251   -2.501861    67410.0
     252   -0.020378        0.0
