 episode  sum_reward     tardiness
       1   -2.336579  53642.366667
       2   -5.931148 154529.700000
       3   -1.386089  37396.266667
       4   -2.191605  57557.300000
       5   -5.410048 142957.300000
       6   -4.490554 113159.700000
       7   -4.277047 112378.500000
       8   -2.663762  67965.066667
       9   -2.416080  61682.366667
      10   -5.014478 129387.300000
      11   -3.435851  89952.366667
      12  -24.631386 667606.266667
      13   -3.062509  77802.366667
      14   -4.635685 116927.300000
      15   -1.697558  42877.300000
      16  -10.228483 266616.400000
      17   -6.633728 174292.366667
      18   -4.145974 105457.300000
      19  -12.036319 317507.300000
      20   -1.485065  37482.366667
      21   -9.349254 251848.500000
      22   -5.078646 135082.366667
      23   -3.078856  78098.500000
      24   -4.056445 108082.366667
      25   -2.288823  57500.133333
      26   -3.362009  85255.066667
      27   -3.741645  86988.500000
      28   -5.642761 148337.300000
      29  -17.327550 459822.366667
      30   -3.293176  83432.366667
      31   -1.135852  27625.066667
      32   -4.516379 116529.700000
      33   -6.083285 160197.300000
      34  -17.139543 445487.300000
      35   -5.115964 126988.500000
      36   -1.334325  35172.366667
      37   -4.680154 125612.366667
      38   -9.453443 247582.366667
      39   -2.170194  53673.733333
      40   -3.007045  71937.300000
      41  -17.613055 471432.366667
      42  -11.265593 294443.566667
      43   -6.876047 181052.366667
      44   -8.075494 213492.366667
      45   -3.544015  89572.366667
      46   -3.608917  92737.300000
      47  -20.115549 528159.566667
      48   -6.641703 173922.366667
      49   -9.525144 249117.300000
      50  -12.634874 334302.366667
      51   -5.469172 142892.366667
      52  -10.504109 272494.000000
      53  -18.679802 493456.266667
      54  -18.693467 487536.266667
      55  -11.599654 302712.366667
      56   -2.860525  73947.300000
      57  -15.129635 401017.300000
      58  -22.277220 593229.566667
      59   -3.137313  81893.566667
      60   -3.338615  87392.366667
      61  -19.893498 527529.566667
      62  -18.986433 501689.566667
      63   -4.700944 125738.500000
      64   -4.011031 106672.366667
      65   -3.099209  79888.500000
      66   -9.714530 256102.366667
      67   -4.101428 109792.366667
      68   -3.530170  90458.500000
      69  -19.009627 501529.566667
      70  -18.395355 489939.566667
      71  -18.650000 497177.166667
      72   -4.064440 104074.766667
      73   -3.855976 101555.066667
      74  -12.509543 339277.466667
      75   -3.946160 106652.366667
      76   -6.060299 163642.366667
      77   -2.348498  63407.300000
      78   -0.685092  19514.400000
      79   -4.018181 106070.000000
      80   -3.282347  74160.000000
      81   -0.260882   1260.000000
      82   -0.252372   2420.000000
      83   -0.753785  21044.400000
      84   -3.899795 100476.266667
      85   -0.971988  27430.133333
      86   -1.271998  31757.466667
      87   -0.221253   1560.000000
      88   -1.021263  28760.133333
      89   -0.457601  11630.000000
      90   -0.586297  16497.466667
      91   -1.315278  37880.000000
      92   -1.060858  26474.400000
      93   -4.908866 139107.466667
      94   -1.352528  36200.133333
      95   -1.332604  34166.133333
      96   -0.178757    620.000000
      97   -1.967108  50410.133333
      98   -3.871802 106800.000000
      99   -0.776599  20214.400000
     100   -2.457924  65810.000000
     101   -0.919509  25574.400000
     102   -0.917130  25910.133333
     103   -3.147462  82540.000000
     104   -0.755443  21334.400000
     105   -0.627596  16801.333333
     106   -0.558412  15467.466667
     107   -2.361754  61247.466667
     108   -0.377420   6300.000000
     109   -0.029111    830.000000
     110   -0.317872   4400.000000
     111   -2.919435  83396.133333
     112   -1.099686  30930.133333
     113   -0.213250   1260.000000
     114   -0.734130  20537.466667
     115   -0.085267   2420.000000
     116   -0.029111    830.000000
     117   -0.543540  15037.466667
     118  -10.734764 290390.000000
     119   -1.088414  30431.333333
