 episode  sum_reward  tardiness
       1  -21.896736   329250.0
       2  -31.191806   366930.0
       3  -25.699930   258060.0
       4  -57.792014   711620.0
       5 -106.564235  1249880.0
       6  -75.060485  1184330.0
       7  -72.062848   851560.0
       8 -160.166734  2136740.0
       9 -238.717778  2879140.0
      10  -67.072916  1041970.0
      11  -24.321805   323420.0
      12 -112.241876  1011790.0
      13 -124.506874  1713880.0
      14 -182.300557  2458130.0
      15  -81.904375   758620.0
      16  -85.902848   837610.0
      17  -44.046389   481110.0
      18  -30.023403   342020.0
      19  -71.898681   759880.0
      20 -137.916597  1540530.0
      21  -29.891875   312750.0
      22 -128.783889  1132830.0
      23  -74.104375  1018980.0
      24 -277.829650  3398950.0
      25 -186.664513  2228000.0
      26 -111.816945  1237020.0
      27 -119.501111  1428360.0
      28  -48.435694   573400.0
      29  -34.782569   317770.0
      30 -105.007432  1269790.0
      31  -96.212987  1133850.0
      32  -53.989862   639410.0
      33  -80.180693   973010.0
      34 -134.809792  1400290.0
      35  -72.337291   739940.0
      36 -123.110001  1352790.0
      37 -101.394375   886470.0
      38  -39.195625   550790.0
      39  -75.528749   804110.0
      40 -119.527433  1218540.0
      41  -47.400626   627650.0
      42  -49.485694   540470.0
      43  -72.599584  1141970.0
      44 -108.958610   929810.0
      45  -18.485764   220710.0
      46  -94.731461  1196020.0
      47  -83.638474   528540.0
      48 -124.783749  1495190.0
      49 -420.031457  5114740.0
      50 -282.437779  3809470.0
      51 -242.293475  2902260.0
      52  -53.139097   512220.0
      53  -77.441945   895870.0
      54  -39.261319   569280.0
      55 -101.959374  1005620.0
      56  -47.554444   349020.0
      57  -66.579792   738370.0
      58 -101.017014  1074540.0
      59  -84.545695   889510.0
      60 -113.545069  1022020.0
      61  -29.985069   381820.0
      62  -71.115625   743780.0
      63 -293.370485  3474070.0
      64  -55.498750   643720.0
      65  -88.632361   937710.0
      66  -31.696458   326870.0
      67  -82.818611  1134250.0
      68  -40.501736   548070.0
      69  -41.496735   384240.0
      70  -30.284375   289110.0
      71  -59.712848   773700.0
      72  -35.484306   419980.0
      73  -28.351042   347410.0
      74  -48.278679   293800.0
      75  -24.804236   242070.0
      76   -8.498056   149340.0
      77 -108.214305  1264400.0
      78  -77.128056   893290.0
      79 -111.432708  1409960.0
      80  -36.123681   324430.0
      81 -114.511598  1046080.0
      82  -18.569028   236310.0
      83  -10.329097   185430.0
      84  -31.095417   600710.0
      85  -27.044653   245570.0
      86  -20.144930   247730.0
      87  -85.082292   896390.0
      88  -24.224931   263190.0
      89  -41.826181   301570.0
      90  -54.328124   863140.0
      91  -20.135139   254630.0
      92  -19.214305   223850.0
      93  -13.936180   215650.0
      94  -19.128542   249190.0
      95 -217.336111  2665630.0
      96  -35.014167   354000.0
      97  -34.402848   455050.0
      98 -207.365414  2731940.0
      99  -21.031181   209120.0
     100  -70.197917   977610.0
     101 -123.698958  1601450.0
     102  -10.394722   172310.0
     103  -97.501598  1212870.0
     104  -27.799722   253930.0
     105  -69.132361   811370.0
     106  -24.189444   277060.0
     107  -90.747015   891550.0
     108  -36.764721   255240.0
     109  -17.325000   279760.0
     110  -23.456736   256290.0
     111  -46.069236   593620.0
     112  -39.560209   408840.0
     113  -12.326875   153420.0
     114  -26.874028   335630.0
     115  -24.323541   243870.0
     116  -61.822432   692560.0
     117  -29.422292   416720.0
     118  -34.807291   276500.0
     119  -12.237708   224650.0
     120  -20.332430   234250.0
     121  -55.947848   533050.0
     122   -8.823611   144590.0
     123  -82.861249  1142740.0
     124   -7.762222   135520.0
     125  -59.152847   466360.0
     126  -58.156665   851200.0
     127  -98.540001  1382750.0
     128 -115.625485  1396900.0
     129 -117.452222  1038470.0
     130 -183.607570  2435990.0
     131 -149.191043  1595960.0
     132  -81.025416   914540.0
     133 -105.263820  1316910.0
     134  -74.657847   685800.0
     135 -107.396807  1001350.0
     136  -89.063124   806690.0
     137 -117.254375  1179680.0
     138  -32.192569   276480.0
     139  -84.110487   825090.0
     140  -84.673471   842510.0
     141 -126.654513  1238720.0
     142  -35.312431   273700.0
     143  -88.594863   818980.0
     144 -127.528611  1344710.0
     145 -241.398539  2541850.0
     146 -191.141253  2098500.0
     147 -142.660762  1429640.0
     148  -97.878750   903580.0
     149 -229.559029  2712300.0
     150  -41.731875   547620.0
     151 -127.484376  1879200.0
     152 -191.075070  2392020.0
     153 -189.103194  2191150.0
     154 -119.622778  1323870.0
     155 -158.302152  2014350.0
     156  -68.735624   726940.0
     157 -108.467015  1165330.0
     158 -133.561391  1373980.0
     159  -88.729167   857260.0
     160 -241.401108  2793080.0
     161 -161.248196  1704370.0
     162 -278.699650  3282410.0
     163 -107.246735  1238600.0
     164 -145.262846  1377310.0
     165 -119.249998  1277500.0
     166 -111.621666  1207520.0
     167 -127.161249  1529860.0
     168 -124.273750  1346560.0
     169 -188.861737  2045750.0
     170 -108.607500  1022510.0
     171 -213.913886  2599480.0
     172 -152.471111  1553020.0
     173 -108.470069  1242680.0
     174  -73.881597   703440.0
     175 -131.505068  1497380.0
     176 -212.331456  2649360.0
     177 -142.501389  1601430.0
     178 -162.763542  1732790.0
     179  -35.541250   354970.0
     180 -127.335557  1376520.0
     181 -122.004931  1221000.0
     182 -122.945209  1041570.0
     183 -111.707499  1146610.0
     184 -129.738402  1482380.0
     185  -35.157431   375380.0
     186 -143.058610  1322530.0
     187  -56.133126   689850.0
     188 -113.758611  1416740.0
     189  -55.383472   624230.0
     190  -73.574304  1132240.0
     191  -71.950139   957380.0
     192 -109.952221  1356610.0
     193  -96.068265  1047860.0
     194 -127.811390  1322320.0
     195  -25.791667   267270.0
     196 -187.102987  2215270.0
     197  -83.030347  1150200.0
     198 -142.402224  1281100.0
     199 -107.679653  1237770.0
     200 -102.035624   975650.0
     201 -151.074724  1585120.0
     202 -194.738683  2378270.0
     203  -80.372083   863010.0
     204 -115.424166  1318580.0
     205 -156.310000  1942400.0
     206  -95.260488   843050.0
     207  -98.674861   897680.0
     208 -125.117500  1103630.0
     209 -260.879169  3006710.0
     210 -141.898195  1561260.0
     211  -84.219306   850390.0
     212 -158.442291  1563430.0
