 episode  sum_reward     tardiness
       1   -1.845583  51950.133333
       2   -6.157976 164098.500000
       3   -3.132141  77041.333333
       4   -2.240716  57906.266667
       5   -5.195807 131224.766667
       6   -3.108237  80318.500000
       7   -1.772703  46081.333333
       8   -4.674644 114752.366667
       9   -0.029201    830.000000
      10   -0.926415  25147.466667
      11   -0.029111    830.000000
      12   -0.107812   2420.000000
      13   -0.482568  13010.133333
      14   -1.189268  32362.533333
      15   -0.006111      0.000000
      16   -2.141253  58050.000000
      17    0.000000      0.000000
      18   -0.563759  15617.466667
      19   -0.000014      0.000000
      20   -0.078479   2220.000000
      21   -1.869732  51046.133333
      22   -2.534232  68003.366667
      23    0.000000      0.000000
      24   -3.341908  87501.766667
      25   -0.000052      0.000000
