 episode  sum_reward  tardiness
       1  -33.033469   841700.0
       2   -7.935861   214390.0
       3  -11.825972   313350.0
       4  -13.945982   367110.0
       5  -45.909274  1211730.0
       6  -94.599788  2537440.0
       7  -75.370753  2031020.0
       8  -73.661666  1970350.0
       9 -111.871232  3017710.0
      10  -26.184896   690000.0
      11  -62.052837  1710140.0
      12  -53.982609  1457720.0
      13  -52.701861  1382230.0
      14  -60.706635  1642890.0
      15 -139.656051  3779690.0
      16  -51.211146  1367630.0
      17   -7.493865   200050.0
      18  -17.038642   458690.0
      19  -60.261218  1630880.0
      20  -46.687705  1271730.0
      21  -45.428223  1226280.0
      22  -97.843931  2604800.0
      23  -57.563245  1559610.0
      24  -15.370427   406090.0
      25  -45.564726  1217950.0
      26  -11.722698   315110.0
      27  -11.798305   313840.0
      28  -15.834938   395370.0
      29  -35.692688   954650.0
      30  -30.145629   806410.0
      31  -14.108170   385150.0
      32  -23.004590   604660.0
      33  -18.125153   478930.0
      34  -47.581108  1281780.0
      35  -20.991625   557830.0
      36  -33.723173   874820.0
      37  -39.416173  1054030.0
      38  -22.436753   607580.0
      39 -110.446439  2963730.0
      40  -33.929101   864890.0
      41  -18.135580   510860.0
      42  -46.909177  1258800.0
      43  -43.497375  1164100.0
      44  -49.822699  1345370.0
      45  -36.975041   944610.0
      46   -6.381997   172400.0
      47  -30.260278   786200.0
      48  -23.784392   660720.0
      49  -40.439872  1079260.0
      50  -11.054990   282640.0
      51  -28.844549   763580.0
      52  -45.319486  1222920.0
      53  -33.112409   898690.0
      54  -28.146969   751090.0
      55  -42.205476  1137680.0
      56  -70.593965  1913590.0
      57  -96.121614  2563230.0
      58  -10.298285   260250.0
      59  -25.914719   704700.0
      60  -24.302194   620690.0
      61  -79.891601  2143220.0
      62  -13.245705   351280.0
      63  -74.134786  2037620.0
      64  -13.853132   365050.0
      65  -86.179695  2369050.0
      66  -88.365723  2376410.0
      67  -57.395660  1526270.0
      68  -61.184350  1674580.0
      69 -117.251613  3193620.0
      70  -62.947976  1677150.0
      71  -16.012761   411620.0
      72  -47.210378  1243450.0
      73  -56.760763  1585590.0
      74  -76.145700  2026260.0
      75  -13.091028   364730.0
      76  -47.607260  1277250.0
      77  -55.086039  1487630.0
      78  -31.722281   858300.0
      79  -39.638667  1080890.0
      80  -53.963478  1480740.0
      81  -47.760417  1300910.0
      82  -40.794986  1096170.0
      83   -7.188486   178700.0
      84  -19.363482   520720.0
      85  -14.316320   393460.0
      86  -53.027336  1392730.0
      87   -8.881031   240320.0
      88  -25.724757   683250.0
      89  -46.497246  1233390.0
      90  -33.352354   886470.0
      91  -10.607823   270170.0
      92  -52.880968  1428160.0
      93   -9.097965   241270.0
      94  -42.162007  1153850.0
      95   -8.058878   214740.0
      96   -5.306486   146620.0
      97   -5.687007   149960.0
      98   -4.778385   132170.0
      99  -22.431406   587570.0
     100   -6.641562   181770.0
     101  -24.235153   654850.0
     102  -15.588920   414090.0
     103  -36.176695   978240.0
     104  -75.329850  2070840.0
     105   -9.607674   249570.0
     106  -43.668586  1144940.0
     107  -30.659219   814390.0
     108  -57.320417  1505270.0
     109   -9.647937   251930.0
     110  -52.671295  1460700.0
     111   -8.139722   224620.0
     112   -4.953424   137330.0
     113   -8.403392   229060.0
     114  -25.309768   682260.0
     115  -30.787170   818000.0
     116  -24.711337   667960.0
     117  -39.283968  1013670.0
     118   -5.173410   144260.0
     119   -9.943094   262710.0
     120   -9.963101   264900.0
     121  -29.641490   785600.0
     122   -5.065316   140390.0
     123  -52.282049  1429430.0
     124   -7.399351   201100.0
     125  -23.937150   653030.0
     126  -46.978673  1277050.0
     127   -0.542264     5900.0
     128   -2.356462    63170.0
     129   -4.838434   121860.0
     130  -14.759475   395020.0
     131   -0.223333     2580.0
     132   -2.278726    55520.0
     133 -100.322771  2806090.0
     134   -2.508080    67300.0
     135   -0.029250      830.0
     136    0.000000        0.0
     137  -48.483480  1375210.0
     138  -59.614146  1614940.0
     139   -0.024667        0.0
     140   -2.821132    74030.0
     141   -3.959382    95850.0
     142   -5.507031   151210.0
     143   -2.724007    73430.0
     144   -0.028976      830.0
     145    0.000000        0.0
     146  -94.519528  2721450.0
     147   -0.085403     2420.0
     148   -0.910622    23350.0
     149  -16.706736   465750.0
     150 -107.760397  3015190.0
     151   -0.000361       10.0
     152   -0.603476    11880.0
     153   -4.786396   132950.0
     154   -1.600337    40090.0
     155   -2.366979    64600.0
     156   -0.084997     2420.0
     157   -3.812736   107060.0
     158   -7.176180   196860.0
     159   -0.084965      800.0
     160   -0.705625    12670.0
     161   -0.000031        0.0
     162   -2.488156    65300.0
     163   -6.903111   183630.0
     164   -0.000080        0.0
     165   -6.075945   161540.0
     166   -0.085403     2420.0
     167  -53.359177  1478720.0
     168   -0.386649     2140.0
     169  -29.980317   795190.0
     170  -18.108046   503880.0
     171   -3.726958   104580.0
     172  -38.748122  1067170.0
     173   -0.272372     7650.0
     174   -1.040719    28340.0
     175   -1.889639    48770.0
     176   -0.562684    15680.0
     177    0.000000        0.0
     178   -1.310417    37000.0
     179   -5.215813   145360.0
     180   -1.544087    38280.0
     181   -0.488635     8940.0
     182   -1.123271    31350.0
     183  -32.485788   909340.0
     184   -5.171142   139590.0
     185  -61.361191  1665380.0
     186  -15.422559   425580.0
     187   -1.775351    50360.0
     188   -0.660000    17600.0
     189    0.000000        0.0
     190   -3.861010   108170.0
     191   -1.306306    36830.0
