 episode  sum_reward  tardiness
       1  -19.423637   176660.0
       2  -18.441917   171070.0
       3  -18.588538   168485.0
       4  -16.565436   151805.0
       5  -16.821417   152250.0
       6  -16.865359   153430.0
       7  -15.971047   147455.0
       8  -17.130306   155450.0
       9  -16.969436   156560.0
      10  -22.454135   224475.0
      11  -17.797658   165190.0
      12  -14.303132   129780.0
      13  -18.420045   191290.0
      14  -13.886901   127640.0
      15  -14.716634   133930.0
      16  -14.140411   129300.0
      17  -16.002655   147260.0
      18  -15.944003   145565.0
      19  -17.896677   163875.0
      20  -18.561658   165855.0
      21  -17.939314   158480.0
      22  -17.545502   153820.0
      23  -14.135870   129725.0
      24  -17.910517   188410.0
      25  -14.043309   128065.0
      26  -17.713917   154660.0
      27  -13.625005   127750.0
      28  -13.593439   126815.0
      29  -17.177026   180040.0
      30  -16.837132   185045.0
      31  -15.386550   141035.0
      32  -15.004219   137900.0
      33  -23.182476   215575.0
      34  -24.401155   227075.0
      35  -23.120894   214865.0
      36  -15.910328   145865.0
      37  -16.678997   147770.0
      38  -14.811835   136825.0
      39  -15.754712   143895.0
      40  -16.557767   174745.0
      41  -12.675637   115035.0
      42  -16.745792   147380.0
      43  -14.643149   134235.0
      44   -8.448215    92990.0
      45  -17.890771   142750.0
      46   -7.028151    67215.0
      47   -7.280995    70220.0
      48   -9.185924   109720.0
      49   -9.201330    92735.0
      50   -5.703913    52115.0
      51   -8.345710    81160.0
      52   -5.654981    55930.0
      53   -6.047535    55745.0
      54   -6.169273    57150.0
      55   -5.937465    56075.0
      56   -5.712691    56740.0
      57   -5.468273    49425.0
      58   -7.935774    70150.0
      59  -11.059953   140310.0
      60   -7.508377   114445.0
      61  -18.355703   259650.0
      62  -12.471149   140830.0
      63  -18.010743    87095.0
      64  -18.873491    89360.0
      65  -17.568059    83965.0
      66  -17.336071    79965.0
      67  -59.123606   879405.0
      68  -70.705572  1021485.0
      69  -61.883003   901350.0
      70  -13.952708   116080.0
      71   -5.335613    52005.0
      72  -12.831663   120235.0
      73   -8.978439    90275.0
      74  -17.767431    68850.0
      75  -18.073849    69975.0
      76  -17.590408    67680.0
      77  -10.755017    90585.0
      78   -7.774922    85615.0
      79   -6.343236    70820.0
      80   -6.375832    56525.0
      81   -9.717234    62370.0
      82  -11.495521    74895.0
      83   -8.058370    53385.0
      84   -8.525628    56440.0
      85   -5.627962    65965.0
      86   -5.731748    58275.0
      87   -8.315750    91050.0
      88   -6.548019    62150.0
      89   -7.928188    85075.0
      90   -6.213977    61440.0
      91   -7.203292    73430.0
      92   -6.305701    71555.0
      93  -17.478333    67735.0
      94  -18.845495    71350.0
      95  -17.047858    66225.0
      96  -18.221342    70170.0
