 episode  sum_reward  tardiness
       1  -19.182701   173765.0
       2  -19.043891   172870.0
       3  -21.118502   186305.0
       4  -22.126861   199660.0
       5  -19.706573   177300.0
       6  -19.634002   183100.0
       7  -19.428240   174735.0
       8  -20.330991   184260.0
       9  -18.420050   166880.0
      10  -14.000766   126620.0
      11  -15.760823   141335.0
      12  -21.630727   198830.0
      13  -17.554582   160895.0
      14  -19.893993   174455.0
      15  -13.684257   129185.0
      16  -17.404915   157895.0
      17  -12.374665   116065.0
      18  -15.305651   142225.0
      19  -19.237750   166970.0
      20  -12.298290   114830.0
      21  -13.397441   125785.0
      22  -12.448899   117130.0
      23  -13.628453   123220.0
      24  -14.135155   125915.0
      25  -12.952149   120295.0
      26  -12.853875   119935.0
      27  -12.642075   117290.0
      28  -13.866505   124510.0
      29  -16.423939   152600.0
      30  -16.525064   144380.0
      31  -14.081651   125930.0
      32  -16.203217   148530.0
      33  -13.050922   118525.0
      34  -17.276731   151785.0
      35  -16.690227   155220.0
      36  -16.069988   147635.0
      37  -16.952181   159315.0
      38  -14.501788   133385.0
      39  -15.237865   140385.0
      40  -15.184589   143430.0
      41  -21.648769   191930.0
      42  -17.164660   157700.0
      43  -16.213955   149520.0
      44  -84.525853  1265195.0
      45  -88.364029  1320015.0
      46  -76.577848  1152525.0
      47  -67.881758   985620.0
      48  -17.617583    70530.0
      49  -17.857142    70300.0
      50  -17.855550    67380.0
      51  -17.096295    67885.0
      52   -5.078830    45125.0
      53   -3.761210    34510.0
      54   -3.711137    31415.0
      55  -67.969764  1177235.0
      56  -81.068897  1544355.0
      57  -74.563795  1263305.0
      58  -73.396612  1243635.0
      59   -5.095503    40280.0
      60   -3.801418    32200.0
      61   -5.843396    46885.0
      62   -9.960148    70995.0
      63  -76.433267  1136310.0
      64  -71.607349  1048805.0
      65  -66.992533   999695.0
      66  -79.309907  1177220.0
      67   -8.985082    61900.0
      68   -7.767215    54250.0
      69   -7.937634    55915.0
      70   -6.302188    78455.0
      71   -9.350286    78260.0
      72   -7.667116    75455.0
      73   -6.166422    84590.0
      74   -4.208825    36170.0
      75   -6.966998    53980.0
      76   -5.204304    42250.0
      77   -5.201116    43375.0
      78  -30.720543   424690.0
      79  -33.667366   488870.0
      80  -32.685210   459755.0
      81 -104.991351  1608005.0
      82  -86.704837  1323680.0
      83  -75.617412  1081635.0
      84  -69.807001  1067620.0
      85  -10.913786    65135.0
      86  -10.226625    65155.0
      87  -13.266859    76180.0
      88  -12.056755    70615.0
      89   -7.243670    51665.0
      90   -6.849146    47200.0
      91   -7.053616    47845.0
      92   -7.445865    51425.0
      93  -12.238937   127195.0
      94   -8.322712   101975.0
      95  -11.821526   148930.0
      96  -10.038840   112780.0
      97   -6.771361    49015.0
      98   -7.484521    52760.0
      99   -7.733377    57675.0
     100   -6.854358    47980.0
     101   -6.371193    93600.0
     102  -14.379965   174065.0
