 episode  sum_reward  tardiness
       1  -97.388504   969590.0
       2  -97.588608   249760.0
       3 -213.667329   150960.0
       4  -81.237808   173330.0
       5 -240.414188  2353390.0
       6  -84.733440   258840.0
       7 -123.324334   835120.0
       8 -208.092998   310130.0
       9 -102.326562   692130.0
      10  -89.537361   936500.0
      11 -306.628421   795550.0
      12 -161.021607   332450.0
      13  -69.823142   246500.0
      14 -159.785165   800370.0
      15  -96.489419   139020.0
      16 -101.151156   419400.0
      17  -70.594181   372120.0
      18 -186.923707   287870.0
      19  -68.780139   138810.0
      20  -52.702697   223790.0
      21  -77.726636   663640.0
      22 -182.558208  2271430.0
      23  -65.760229   499090.0
      24 -237.361272  2477520.0
      25 -127.575256   863190.0
      26 -159.455453   766240.0
      27 -158.344277  1303130.0
      28 -356.992319  5924820.0
      29 -192.625411  1728630.0
      30 -195.073187  1666630.0
      31 -242.854860   745990.0
      32 -238.405214  1773590.0
      33 -180.448325   324690.0
      34 -174.179711  3258210.0
      35 -169.953240   836380.0
      36  -84.018987   577000.0
      37  -84.718729   730470.0
      38  -51.081858   211530.0
      39 -130.564468   802060.0
